,SeqId,Count
0,5476-66,80
1,20087-3,78
2,2950-57,67
3,21764-99,30
4,10391-1,17
5,15606-19,54
6,6897-38,52
7,9316-67,22
8,8967-6,35
9,22506-25,15
10,9370-69,61
11,12881-17,36
12,21828-6,40
13,18166-4,28
14,25452-16,34
15,21957-12,34
16,24457-12,70
17,10382-1,51
18,6209-2,56
19,13097-11,20
20,19141-22,43
21,9207-60,23
22,11318-20,35
23,8760-10,25
24,12446-49,41
25,23588-9,66
26,15698-6,8
27,23327-1,50
28,23369-17,15
29,4126-22,63
30,12518-289,38
31,6227-1,72
32,15455-40,15
33,13447-42,61
34,18398-1,4
35,6334-9,7
36,19273-3,15
37,21206-218,17
38,7965-25,15
39,23253-5,26
40,19614-8,20
41,19819-7,9
42,6064-4,24
43,12726-3,7
44,10754-113,12
45,4234-8,61
46,7015-8,26
47,21691-27,43
48,15486-126,61
49,2597-8,37
50,20103-176,75
51,7810-20,70
52,18242-8,25
53,5087-5,43
54,5636-10,48
55,6379-62,12
56,13731-14,3
57,8304-50,37
58,15368-3,32
59,11177-16,52
60,18265-18,21
61,23661-61,11
62,15594-47,4
63,6383-90,4
64,9456-34,57
65,5722-78,21
66,5617-41,8
67,2211-9,37
68,7849-3,16
69,2913-1,16
70,2742-68,1
71,6423-66,2
72,22496-21,9
73,12457-10,5
74,2436-49,20
75,7127-3,11
76,2670-67,11
77,3221-54,7
78,3305-6,20
79,12329-21,1
80,13671-40,54
81,4964-67,2
82,23544-10,5
83,12549-33,20
84,3636-37,47
85,18178-13,16
86,2768-56,14
87,21501-30,24
88,5691-2,34
89,15480-2,24
90,6471-53,5
91,8589-13,27
92,23296-29,26
93,20932-10,4
94,25459-3,48
95,3388-58,12
96,22479-64,12
97,21397-21,3
98,13492-44,6
99,5637-81,1
100,17742-2,1
101,10851-77,11
102,10615-18,26
103,2681-23,7
104,8470-213,3
105,6077-63,6
106,4141-79,9
107,20975-2,4
108,3714-49,30
109,21348-22,27
110,3235-50,3
111,14011-17,14
112,9002-36,6
113,2514-65,1
114,8969-49,24
115,2771-35,5
116,21310-37,2
117,2774-10,2
118,21533-51,1
119,20423-40,5
120,10815-2,5
121,20970-14,1
122,3730-81,2
123,6296-36,2
124,13727-44,42
125,2993-1,11
126,4866-59,2
127,3805-16,6
128,21967-20,11
129,8091-16,11
130,13529-39,1
131,21647-9,7
132,14125-5,1
133,3339-33,5
134,5728-60,1
135,11142-11,8
136,20590-13,10
137,17145-1,33
138,6629-3,27
139,4158-54,12
140,8923-94,12
141,5598-3,14
142,9126-171,2
143,5708-1,3
144,4125-52,9
145,16763-11,4
146,8893-29,14
147,5620-13,5
148,23305-38,14
149,12572-236,3
150,6621-10,9
151,4983-6,5
152,21392-15,6
153,11405-150,1
154,25255-4,4
155,21143-10,4
156,8264-43,4
157,5738-25,8
158,6260-14,4
159,20398-60,11
160,14318-1,10
161,23767-1,6
162,11647-6,2
163,12568-14,17
164,3581-53,8
165,4127-75,7
166,10365-132,34
167,5339-49,10
168,14254-27,3
169,20568-3,1
170,14100-63,2
171,16908-5,6
172,3414-40,8
173,9377-25,4
174,11370-20,2
175,13990-1,8
176,13473-55,3
177,24937-7,2
178,6947-4,3
179,4184-43,10
180,8385-248,1
181,18909-11,7
182,9267-2,6
183,5084-154,4
184,12732-13,11
185,22074-35,3
186,3313-21,5
187,3343-1,4
188,15576-158,6
189,10565-19,5
190,3069-52,11
191,8429-16,13
192,4876-32,15
193,12585-39,5
194,25948-18,7
195,5307-12,2
196,11212-7,6
197,3808-76,2
198,18193-165,3
199,13486-9,11
