,SeqId,Count
0,4234-8,80
1,2913-1,69
2,24286-48,41
3,21685-29,60
4,11814-29,49
5,11462-8,36
6,15530-33,6
7,21232-39,36
8,3336-50,49
9,3508-78,18
10,3504-58,47
11,4541-49,40
12,6227-1,73
13,3415-61,60
14,2474-54,32
15,6621-10,11
16,20561-15,53
17,7934-11,10
18,9357-4,4
19,20437-9,13
20,9456-34,26
21,2381-52,8
22,3323-37,39
23,24921-73,15
24,20975-2,20
25,4829-43,48
26,10981-56,9
27,16614-27,2
28,11152-46,47
29,3044-3,13
30,19784-16,15
31,15565-102,27
32,22993-9,13
33,5735-54,22
34,17682-1,3
35,22486-58,5
36,13113-7,73
37,23580-2,26
38,3516-60,57
39,15326-64,14
40,10575-31,48
41,8982-65,15
42,19141-22,3
43,4481-34,6
44,20075-130,24
45,25292-6,43
46,13992-12,18
47,8264-43,2
48,13939-14,30
49,5620-13,15
50,20106-80,38
51,25459-3,15
52,8819-3,19
53,5801-72,8
54,13701-2,5
55,4324-33,20
56,21141-9,24
57,5364-7,35
58,8469-41,16
59,2570-72,15
60,8367-142,31
61,10015-119,20
62,14759-149,35
63,18899-82,15
64,13993-20,21
65,23296-29,25
66,13464-8,13
67,13112-179,2
68,6264-9,14
69,12527-50,9
70,3041-55,35
71,14227-21,10
72,5030-52,1
73,9514-46,3
74,7655-11,11
75,20217-26,36
76,22528-1,1
77,21144-160,2
78,21523-71,1
79,7146-5,11
80,18313-4,40
81,24962-7,13
82,6296-36,24
83,5087-5,7
84,3583-54,15
85,4534-10,24
86,9278-9,19
87,20237-38,1
88,23588-9,70
89,7915-31,3
90,3340-53,24
91,8620-56,5
92,18175-65,3
93,25452-16,2
94,22578-17,25
95,3758-68,3
96,5636-10,20
97,12768-3,5
98,7083-74,28
99,18347-15,10
100,6580-29,9
101,14116-129,1
102,5476-66,5
103,3122-6,11
104,5688-65,10
105,21501-30,12
106,6259-60,7
107,21392-15,3
108,9748-31,5
109,3040-59,6
110,8468-19,4
111,4153-11,38
112,3449-58,7
113,15324-58,37
114,5934-1,35
115,18336-31,12
116,14105-5,11
117,7871-16,8
118,6431-68,16
119,5581-28,11
120,14068-29,4
121,3580-25,9
122,7933-75,14
123,13722-105,2
124,15535-3,2
125,6036-78,18
126,5708-1,6
127,8233-2,9
128,4930-21,2
129,11696-7,2
130,13747-9,5
131,4866-59,7
132,6291-55,13
133,15426-5,17
134,18332-17,10
135,20423-40,2
136,3366-51,11
137,10851-77,8
138,7849-3,2
139,8601-167,23
140,15417-3,10
141,21691-27,4
142,7131-8,26
143,12557-18,13
144,12457-10,16
145,4811-33,4
146,23162-36,20
147,20511-3,16
148,22482-87,8
149,5242-37,2
150,3059-50,23
151,24941-14,4
152,11383-41,5
153,11278-4,7
154,5631-83,4
155,6086-15,5
156,18935-14,14
157,13125-45,26
158,17377-1,7
159,15636-49,8
160,25951-17,1
161,24909-40,11
162,16763-11,1
163,20568-3,16
164,15491-20,6
165,15559-5,8
166,21182-8,10
167,8841-65,11
168,15569-15,2
169,5701-81,7
170,18317-111,5
171,12881-17,14
172,8960-3,8
173,15607-56,4
174,2765-4,2
175,12549-33,3
176,3389-7,8
177,11243-90,26
178,6415-90,25
179,15582-25,12
180,14038-130,5
181,15617-8,4
182,10754-113,10
183,7885-17,6
184,4135-84,3
185,9077-10,1
186,13660-76,6
187,3206-4,3
188,13516-46,10
189,22534-14,2
190,12988-49,7
191,3196-6,16
192,7015-8,5
193,7194-36,3
194,14048-7,8
195,14031-18,8
196,22074-35,3
197,16875-13,9
198,12014-19,2
199,19630-2,3
200,21220-11,7
201,5617-41,6
202,11246-3,7
203,21438-45,2
204,25089-21,1
205,3898-5,1
206,20087-3,4
207,21143-10,3
208,22844-4,2
209,5178-5,1
210,5316-54,1
211,17693-2,6
212,8288-27,1
213,4162-54,1
214,11356-19,2
215,9377-25,1
216,15368-3,1
217,2974-61,21
218,11237-49,8
219,9545-156,3
220,12446-49,1
221,19130-81,8
222,12556-7,5
223,13661-193,1
224,3299-29,4
225,2997-8,1
226,13699-6,16
227,6334-9,9
228,11098-1,4
229,22811-5,3
230,20398-60,7
231,17460-51,21
232,3060-43,12
233,15506-34,2
234,22003-4,6
235,19123-6,17
236,22783-40,2
237,17758-79,1
238,24681-2,3
239,6647-55,4
240,6373-54,2
241,18185-118,1
242,11318-20,5
243,5036-50,1
244,22005-8,1
245,3447-64,13
246,23771-17,1
247,6391-52,1
248,4876-32,8
249,2979-8,6
250,22147-19,4
251,21833-6,2
252,3305-6,2
253,4968-50,4
254,8059-1,5
255,11120-49,2
256,21536-65,6
257,13676-46,2
258,7186-111,2
259,8044-90,3
260,5430-66,3
261,10743-13,5
262,9713-67,5
263,22974-25,3
264,9269-7,2
265,8039-41,7
266,16300-4,5
267,13712-104,11
268,10637-50,5
269,9793-145,8
270,12501-10,2
271,11430-49,7
272,3302-58,3
