,SeqId,Count
0,8967-6,61
1,4126-22,70
2,21321-2,44
3,13993-20,38
4,13067-5,64
5,24457-12,71
6,6372-7,9
7,11160-56,35
8,9959-60,30
9,20103-176,70
10,8819-3,17
11,14759-149,25
12,11203-97,18
13,6172-7,3
14,21764-99,54
15,13631-1,28
16,12451-62,9
17,3198-4,12
18,15607-56,15
19,8589-13,28
20,9514-46,18
21,5476-66,79
22,4905-63,16
23,8469-41,12
24,20584-4,9
25,6104-1,6
26,12538-19,21
27,22783-40,9
28,9898-161,5
29,2333-72,18
30,14011-17,66
31,12681-63,24
32,23620-16,23
33,20458-22,7
34,21828-6,55
35,23531-79,50
36,8601-167,56
37,23771-17,1
38,2997-8,1
39,2950-57,43
40,4234-8,70
41,20461-58,9
42,2570-72,10
43,20087-3,60
44,23767-1,7
45,3184-25,32
46,10015-119,10
47,14245-195,17
48,25499-37,15
49,5801-72,1
50,19819-7,30
51,22534-14,8
52,5084-154,28
53,21206-218,44
54,7810-20,24
55,19294-26,24
56,21967-20,40
57,23588-9,29
58,3388-58,16
59,6227-1,7
60,11647-6,36
61,12650-43,25
62,9370-69,64
63,12446-49,16
64,5722-78,75
65,2670-67,26
66,17742-2,1
67,5691-2,50
68,23296-29,15
69,6379-62,27
70,13704-5,7
71,15698-6,14
72,15481-45,2
73,25948-18,9
74,19823-75,17
75,10754-113,22
76,13486-9,54
77,17828-3,16
78,3042-7,16
79,9204-33,18
80,11142-11,19
81,6385-63,5
82,6649-51,1
83,8837-8,4
84,3714-49,33
85,11177-16,7
86,10382-1,28
87,9456-34,47
88,13447-42,61
89,6897-38,36
90,5087-5,11
91,4922-13,5
92,21685-29,7
93,8304-50,6
94,13438-115,3
95,3633-70,2
96,12518-289,3
97,11430-49,1
98,2714-78,45
99,21688-50,45
100,21995-20,13
101,5430-66,7
102,25452-16,15
103,15522-2,4
104,13055-53,14
105,10854-15,15
106,13731-14,9
107,19751-21,6
108,15388-24,1
109,9372-157,2
110,8893-29,24
111,9212-22,14
112,6947-4,7
113,5637-81,17
114,8246-9,15
115,3173-49,12
116,18483-36,4
117,2573-20,23
118,3364-76,7
119,3305-6,16
120,25912-131,11
121,6629-3,33
122,3221-54,3
123,13540-1,4
124,2837-3,6
125,2913-1,6
126,24307-22,5
127,3284-75,21
128,21647-9,1
129,5345-51,8
130,21354-92,3
131,7823-22,7
132,24951-3,41
133,6334-9,27
134,19799-2,5
135,5725-1,13
136,20411-52,3
137,21349-2,1
138,23661-61,17
139,9267-2,3
140,5358-3,10
141,7934-11,5
142,14116-129,14
143,25255-4,3
144,13097-11,12
145,6209-2,5
146,18873-8,6
147,11556-19,11
148,6077-63,21
149,3046-31,3
150,15486-126,14
151,17200-50,1
152,5708-1,6
153,11219-95,4
154,15606-19,12
155,4991-12,7
156,5134-52,4
157,5680-54,7
158,14318-1,3
159,8091-16,22
160,23327-1,28
161,2778-10,1
162,6621-10,8
163,10445-20,1
164,12014-19,8
165,25089-21,2
166,21533-51,10
167,13130-150,14
168,13459-30,12
169,3800-71,2
170,23305-38,6
171,2768-56,8
172,6471-53,8
173,24962-7,4
174,3299-29,11
175,25951-17,2
176,20527-47,2
177,2831-29,8
178,15527-90,2
179,6415-90,4
180,4995-16,6
181,21691-27,8
182,2774-10,3
183,10365-132,15
184,4785-30,1
185,7142-5,19
186,20219-25,1
187,21833-6,6
188,7146-5,9
189,11243-90,2
190,11134-30,15
191,11538-216,9
192,10565-19,13
193,7198-197,8
194,22395-7,1
195,14708-59,7
196,13723-6,1
197,3174-2,5
198,23386-38,4
199,13939-14,7
200,7127-3,11
201,4284-18,1
202,23547-21,2
203,17364-8,4
204,20221-26,1
205,12848-9,4
206,15594-47,6
207,25126-19,3
208,3326-58,7
