,SeqId,Count
0,6217-23,73
1,4907-56,43
2,16300-4,24
3,4989-7,40
4,5087-5,78
5,13434-172,76
6,4988-49,6
7,5581-28,52
8,22003-4,44
9,8091-16,26
10,13710-6,47
11,18265-18,36
12,25301-48,24
13,14048-7,41
14,21392-15,4
15,20538-71,10
16,9979-13,5
17,3220-40,56
18,3169-70,7
19,5635-66,58
20,14012-17,28
21,9456-34,52
22,3336-50,32
23,18242-8,15
24,6385-63,48
25,12457-10,27
26,22074-35,36
27,18832-65,6
28,11851-21,37
29,7810-20,37
30,6380-23,26
31,13602-6,32
32,8918-64,9
33,10365-132,6
34,2734-49,5
35,15594-47,20
36,7831-39,6
37,20442-12,25
38,15565-102,11
39,14254-27,12
40,22479-64,3
41,18931-40,15
42,5108-72,1
43,5792-8,5
44,14031-18,9
45,13067-5,12
46,8597-1,44
47,19296-51,36
48,24922-19,14
49,20055-40,14
50,17766-5,33
51,14708-59,16
52,6583-67,8
53,21643-8,31
54,20111-5,32
55,21238-40,1
56,21949-4,24
57,3122-6,10
58,4129-72,23
59,4159-130,22
60,20937-43,20
61,14614-41,10
62,9986-14,10
63,23661-61,1
64,3024-18,18
65,10496-11,1
66,4234-8,46
67,5084-154,9
68,18935-14,17
69,4160-49,7
70,7200-4,2
71,12446-49,2
72,21537-33,2
73,7898-29,32
74,13547-5,27
75,21492-19,18
76,8882-1,29
77,3448-13,24
78,9906-21,29
79,17145-1,15
80,4126-22,58
81,3622-33,21
82,15576-158,19
83,8589-13,7
84,18882-7,15
85,4467-49,10
86,12338-27,8
87,2630-12,31
88,16593-3,16
89,22797-20,2
90,11205-10,24
91,8220-15,3
92,22586-24,5
93,3415-61,1
94,14100-63,33
95,12653-13,19
96,12488-9,15
97,7147-35,27
98,13652-2,1
99,23210-4,28
100,9793-145,21
101,18178-13,2
102,5636-10,13
103,19372-7,13
104,7015-8,40
105,10620-21,2
106,15635-4,21
107,4549-78,9
108,19558-10,2
109,5339-49,4
110,23200-25,6
111,8841-65,3
112,4125-52,25
113,21766-50,17
114,6367-66,6
115,8759-29,4
116,4437-56,9
117,2637-77,26
118,9284-25,5
119,13529-39,5
120,6227-1,19
121,9077-10,9
122,7083-74,3
123,4535-50,12
124,14125-5,28
125,3505-6,1
126,11318-20,7
127,16558-2,1
128,8427-118,3
129,9370-69,3
130,13979-3,8
131,11243-90,3
132,18193-165,11
133,15515-2,2
134,21498-3,1
135,3366-51,25
136,5741-55,5
137,6383-90,9
138,15633-6,3
139,2796-62,10
140,21107-5,6
141,2692-74,1
142,16781-2,6
143,19630-2,13
144,9449-150,5
145,4261-55,13
146,14337-1,2
147,11260-47,14
148,3035-80,17
149,4697-59,4
150,13676-46,7
151,6464-40,6
152,7856-51,10
153,23426-1,4
154,17346-61,8
155,2573-20,9
156,17348-5,9
157,8418-30,24
158,5691-2,8
159,4886-3,4
160,4673-13,2
161,2436-49,11
162,5637-81,1
163,13094-75,2
164,2858-29,5
165,10419-1,6
166,2474-54,3
167,15613-16,7
168,2622-18,1
169,2913-1,5
170,15589-1,7
171,13993-20,10
172,24941-14,2
173,20457-13,4
174,11462-8,8
175,22783-40,16
176,24217-2,20
177,20103-176,3
178,12518-289,8
179,8039-41,1
180,21764-99,2
181,11278-4,9
182,4127-75,8
183,13130-150,2
184,21143-10,15
185,24962-7,16
186,11590-5,2
187,3758-68,19
188,21118-48,2
189,24960-48,5
190,17364-8,11
191,11214-40,1
192,14148-2,8
193,22429-13,3
194,4123-60,4
195,19236-24,12
196,4909-68,1
197,21720-13,10
198,15486-126,8
199,13731-14,8
200,13704-5,2
201,3299-29,5
202,9126-171,2
203,8043-153,3
204,15559-5,1
205,3184-25,9
206,24457-12,4
207,23581-131,2
208,4829-43,4
209,15364-101,1
210,4982-54,13
211,21546-20,4
212,15343-337,7
213,3343-1,8
214,11186-12,2
215,2778-10,1
216,22844-4,6
217,10851-77,9
218,14759-149,1
219,21247-16,8
220,15516-12,3
221,7140-1,7
222,9235-3,3
223,15491-20,10
224,10714-7,3
225,20511-3,1
226,5476-66,1
227,11089-7,6
228,4141-79,10
229,9294-45,4
230,22468-54,13
231,4785-30,1
232,5688-65,10
233,11430-49,4
234,4968-50,3
235,4545-53,8
236,15582-25,1
237,10428-1,6
238,17161-1,1
239,3684-78,2
240,11573-3,12
241,23284-5,3
242,15636-49,2
243,3316-58,3
244,22969-12,7
245,9061-3,10
246,12768-3,4
247,6209-2,15
248,6409-57,11
249,23588-9,11
250,22506-25,1
251,11356-19,17
252,8264-43,9
253,3079-62,4
254,9269-7,2
255,3587-53,1
256,21306-7,6
257,13495-48,9
258,18899-82,15
259,9759-13,7
260,9015-1,3
261,15526-33,8
262,20165-4,4
263,5630-48,1
264,5682-13,6
265,22993-9,4
266,8758-2,1
267,3805-16,4
268,12849-25,4
269,7839-99,3
270,23176-17,2
271,25117-17,3
272,12345-4,3
273,7951-146,10
274,9188-119,4
275,21501-30,4
276,4876-32,1
277,2827-23,6
278,3067-67,3
279,17447-52,2
280,3340-53,4
281,5722-78,4
282,6485-59,6
283,6373-54,2
284,9076-25,1
285,5620-13,2
286,5735-54,5
287,4284-18,2
288,20106-80,3
289,16763-11,4
290,6425-87,1
291,21887-2,7
292,11510-31,1
293,11067-13,5
294,16927-9,4
295,12527-50,2
296,8299-66,1
297,19190-4,2
298,17210-2,5
299,17792-158,5
300,15324-58,6
301,3808-76,2
302,2752-62,1
303,5934-1,9
304,3060-43,6
305,3484-60,3
306,3388-58,2
307,24671-15,2
308,7161-25,1
309,18175-65,1
310,6391-52,2
311,3346-72,4
312,20593-10,2
313,4983-6,1
314,6629-3,7
315,6103-70,4
316,17693-2,5
317,17460-51,2
318,7115-5,1
319,14747-9,5
320,23299-52,2
321,7915-31,4
322,3196-6,2
323,7186-111,1
324,13742-66,2
325,13042-7,3
326,21321-2,11
327,12945-33,5
328,23699-61,3
329,13722-105,4
330,23529-11,4
331,25126-19,1
332,20941-7,1
333,13628-58,1
334,21691-27,4
335,22365-52,1
336,21172-11,2
337,18921-30,1
338,3311-27,8
339,13701-2,6
340,23413-38,2
341,24686-19,4
342,20423-40,2
343,2748-3,2
344,10451-11,2
345,4314-12,4
346,9765-4,1
347,22831-11,2
348,25255-4,2
349,3414-40,1
350,21651-9,3
351,14115-34,3
352,24222-10,1
353,15388-24,3
354,11218-84,1
355,15644-1,2
356,9094-5,1
357,23605-3,3
358,5358-3,1
359,9970-7,1
360,9326-33,3
361,15431-31,1
362,20953-34,4
363,14110-200,1
364,10854-15,2
365,6649-51,4
366,14237-1,7
367,18173-11,1
368,4878-3,3
369,8396-42,2
370,14685-17,1
371,20237-38,1
372,6214-84,1
373,17396-23,4
374,21141-9,2
375,22974-25,1
376,8484-24,2
377,21667-57,5
378,2575-5,2
379,23309-11,2
380,9402-18,1
381,5701-81,2
382,5728-60,1
383,13717-15,1
384,9282-12,3
385,11134-30,2
386,13492-44,2
387,23356-32,2
388,18196-8,3
389,8229-1,1
390,4991-12,2
391,5954-62,1
392,3800-71,1
393,13680-3,4
394,19590-46,3
395,23702-98,3
396,18286-3,1
397,12633-3,2
398,21106-206,2
399,12988-49,1
400,11387-3,4
401,15452-5,6
402,5742-14,4
403,13712-104,2
404,16612-28,1
405,18943-4,2
406,10892-8,2
407,18342-2,1
408,15569-15,3
409,11140-56,1
410,2570-72,3
411,8819-3,2
412,3636-37,4
413,23620-16,2
414,9954-2,2
415,11440-58,1
416,20221-26,3
417,15503-20,2
418,16875-13,1
419,4996-66,1
420,4811-33,1
421,6941-11,2
422,3198-4,1
423,13990-1,1
424,5354-11,1
425,2640-3,1
426,5457-5,3
427,21833-6,1
428,9384-17,1
429,14038-130,1
430,3077-66,2
431,2838-53,1
432,20460-22,1
433,17742-2,4
434,2695-25,1
435,15480-2,2
436,9357-4,1
437,9237-54,1
438,11098-1,1
439,9081-39,2
440,25057-2,1
441,8099-42,1
442,19141-22,1
443,2771-35,1
444,11401-181,2
445,17231-1,1
446,5410-53,2
447,19247-1,2
448,14186-13,1
449,19823-75,1
450,9312-8,1
451,8233-2,2
452,11116-16,1
453,15535-3,1
454,5255-22,1
455,6393-63,1
456,20087-3,1
457,15470-11,2
458,13589-10,2
459,8051-10,1
460,21533-51,1
461,9002-36,1
462,2774-10,1
463,13692-154,1
464,5000-52,1
465,16315-105,1
466,19123-6,1
467,12480-9,1
468,13507-51,2
469,2891-1,1
470,11208-15,2
471,2737-22,1
472,19545-145,1
473,3041-55,2
474,19635-69,1
475,16614-27,1
476,9316-67,1
477,11277-23,2
478,20995-47,2
479,23296-29,2
480,9545-156,1
481,25244-9,1
482,5648-28,1
483,22019-21,1
484,2190-55,1
485,2585-2,1
486,22528-1,1
487,21441-20,1
488,5030-52,1
489,3898-5,1
490,15368-3,3
491,8983-7,1
492,4564-2,1
493,15615-8,1
494,21696-80,1
495,5982-50,3
496,5008-51,1
497,3283-21,2
498,9769-48,1
499,10551-7,1
500,21655-18,1
501,11383-41,1
502,3508-78,2
503,10866-60,1
504,24926-9,1
505,6229-13,1
506,6897-38,1
507,4151-6,1
508,19253-82,2
509,20526-3,2
510,21403-39,1
511,6378-2,1
512,15607-56,1
513,6334-9,1
514,11203-97,1
515,12686-15,1
516,18172-71,1
517,7948-129,1
518,5689-1,1
519,21670-52,1
520,5015-15,1
521,6077-63,1
522,8305-18,2
523,4992-49,1
524,4481-34,1
525,6263-77,1
526,22466-27,1
527,10815-2,1
528,8967-6,1
529,4158-54,1
530,25964-12,1
531,11215-6,1
532,17758-79,1
533,24690-1,1
