,SeqId,Count
0,5087-5,80
1,20087-3,77
2,14012-17,55
3,9456-34,80
4,15526-33,66
5,15582-25,33
6,3366-51,66
7,22074-35,37
8,14614-41,41
9,13948-50,74
10,15417-3,51
11,18899-82,6
12,21764-99,40
13,21384-2,32
14,3314-74,72
15,5636-10,65
16,5620-13,71
17,11278-4,60
18,5063-12,15
19,11277-23,4
20,13374-4,5
21,5699-19,17
22,15368-3,49
23,2778-10,4
24,22844-4,9
25,23336-2,3
26,6035-2,5
27,21143-10,33
28,25459-3,74
29,17364-8,23
30,6485-59,37
31,12768-3,27
32,6546-41,2
33,9769-48,2
34,8233-2,73
35,3291-30,58
36,13990-1,3
37,18166-4,11
38,15626-223,8
39,9545-156,67
40,4234-8,47
41,17693-2,26
42,23296-29,48
43,4162-54,2
44,11462-8,31
45,2913-1,49
46,15446-25,8
47,11205-10,1
48,16875-13,2
49,2570-72,46
50,8469-41,45
51,8819-3,44
52,5476-66,26
53,8841-65,4
54,6897-38,37
55,10743-13,5
56,8601-167,45
57,6227-1,48
58,13738-8,28
59,6973-111,3
60,5728-60,5
61,15565-102,45
62,7933-75,7
63,10615-18,5
64,8051-10,23
65,6415-90,3
66,2993-1,14
67,2571-12,1
68,23200-25,23
69,9595-11,17
70,3122-6,5
71,23580-2,8
72,20568-3,2
73,17792-158,7
74,6544-33,4
75,13132-14,10
76,5598-3,49
77,6408-2,6
78,17210-2,37
79,6631-17,15
80,11186-12,37
81,14125-5,5
82,3320-49,7
83,4546-27,19
84,3221-54,47
85,6372-7,1
86,3344-60,1
87,20388-8,2
88,23588-9,42
89,6379-62,9
90,8923-94,23
91,25121-7,19
92,2950-57,4
93,8091-16,1
94,21182-8,5
95,4158-54,41
96,7959-34,10
97,10365-132,16
98,7810-20,17
99,7127-3,39
100,22528-1,5
101,4125-52,21
102,13717-15,2
103,6209-2,7
104,2705-5,5
105,23529-11,8
106,3505-6,6
107,16915-153,1
108,25964-12,21
109,23358-42,13
110,9377-25,12
111,10391-1,3
112,25074-119,1
113,2436-49,7
114,23581-131,14
115,4541-49,3
116,7083-74,6
117,12849-25,9
118,20460-22,4
119,16781-2,2
120,3041-55,13
121,3284-75,12
122,19190-4,11
123,11152-46,3
124,13693-5,1
125,3506-49,2
126,10382-1,11
127,7146-5,2
128,17153-46,3
129,23620-16,17
130,22974-25,2
131,3309-2,6
132,4929-55,11
133,8406-17,4
134,7206-20,3
135,5792-8,2
136,18242-8,5
137,3220-40,1
138,22783-40,3
139,18317-111,1
140,21321-2,9
141,15521-4,27
142,3196-6,33
143,21144-160,8
144,3336-50,21
145,20411-52,12
146,5934-1,47
147,15324-58,48
148,4983-6,5
149,15470-11,9
150,22395-7,5
151,23629-4,17
152,3484-60,18
153,13055-53,1
154,3044-3,10
155,21115-48,4
156,15516-12,4
157,14068-29,4
158,5491-12,1
159,6621-10,12
160,12549-33,18
161,9242-11,15
162,3029-52,1
163,15455-40,4
164,11208-15,3
165,19556-12,1
166,19273-3,3
167,22786-57,1
168,6393-63,5
169,4914-10,1
170,2638-12,1
171,3592-4,7
172,13464-8,1
173,8427-118,12
174,8967-6,4
175,9837-60,16
176,20970-14,8
177,9370-69,12
178,12373-73,4
179,14148-2,7
180,20217-26,3
181,21392-15,8
182,15530-33,5
183,23326-10,11
184,13678-169,6
185,7015-8,6
186,20075-130,9
187,15698-6,8
188,12759-47,6
189,10575-31,2
190,10851-77,2
191,21685-29,8
192,15617-8,1
193,5701-81,4
194,2806-49,6
195,19372-7,2
196,25948-18,1
197,9933-49,7
198,18193-165,2
199,4979-34,7
200,21676-17,3
201,20546-71,1
202,12338-27,1
203,24440-11,10
204,25951-17,5
205,16902-17,3
206,13993-20,1
207,5581-28,1
208,7909-37,1
209,20937-43,1
210,3327-27,6
211,21887-2,6
212,9094-5,4
213,21397-21,2
214,8009-121,2
215,9713-67,3
216,4467-49,5
217,12686-15,8
218,12653-13,10
219,12446-49,1
220,8418-30,8
221,11318-20,6
222,4126-22,16
223,12650-43,16
224,4535-50,6
225,2190-55,1
226,13094-75,11
227,5635-66,5
228,23310-51,8
229,13123-3,4
230,24922-19,11
231,16763-11,3
232,21957-12,2
233,22019-21,5
234,17346-61,2
235,7962-11,2
236,19296-51,1
237,8957-72,4
238,6629-3,8
239,25244-9,1
240,22113-2,1
241,16927-9,1
242,8288-27,5
243,21403-39,1
244,15483-377,1
245,21720-13,1
246,3814-63,2
247,4829-43,1
248,8992-1,1
249,7186-111,2
250,24490-16,2
251,3807-1,3
252,4992-49,2
253,5735-54,2
254,23699-61,7
255,2774-10,3
256,13691-10,9
257,12854-3,8
258,13067-5,1
259,20511-3,4
260,14685-17,3
261,3581-53,2
262,3623-84,2
263,4866-59,2
264,8250-2,1
265,3580-25,3
266,4152-58,1
267,21590-9,10
268,22989-24,4
269,3305-6,2
270,9212-22,1
271,7178-59,1
272,6217-23,3
273,21688-50,1
274,9183-7,4
275,12382-2,1
276,14086-11,2
277,24958-3,1
278,24671-15,1
279,15486-126,3
280,13720-95,1
281,12557-18,1
282,3622-33,3
283,15635-4,1
284,11851-21,4
285,13492-44,3
286,23611-16,7
287,3837-6,3
288,5410-53,1
289,6383-90,2
290,6998-106,3
291,25436-44,1
292,12732-13,2
293,20939-113,4
294,6464-40,8
295,5134-52,1
296,3447-64,1
297,17348-5,1
298,8958-51,1
299,23702-98,1
300,18873-8,1
301,5852-6,2
302,5688-65,4
303,5036-50,2
304,10015-119,6
305,8468-19,1
306,10754-113,1
307,21691-27,1
308,24962-7,1
309,2994-71,1
310,3326-58,2
311,15388-24,4
312,3310-62,1
313,18381-16,1
314,2742-68,2
315,21308-44,1
316,23305-38,6
317,4910-21,4
318,22564-5,1
319,25292-6,4
320,2658-27,1
321,4155-3,1
322,11134-30,1
323,2681-23,2
324,13042-7,2
325,7128-9,1
326,4842-62,2
327,22486-58,1
328,3040-59,3
329,25452-16,1
330,2879-9,1
331,3343-1,1
332,19141-22,1
333,23327-1,4
334,20219-25,1
335,23162-36,1
336,19635-69,1
337,10907-116,2
338,11383-41,1
339,10833-64,1
340,20111-5,3
341,16859-100,2
342,5316-54,1
343,11573-3,2
344,13701-2,4
345,20437-9,1
346,22124-94,1
347,21546-20,1
348,13112-179,1
349,2731-29,1
350,9294-45,1
351,10490-3,1
352,13727-44,2
353,10428-1,1
354,5015-15,1
355,20106-80,2
356,21660-4,1
357,4151-6,1
358,7131-8,1
359,6391-52,1
360,14042-11,1
361,5691-2,1
362,23413-38,1
363,12394-53,1
364,17335-18,1
365,15364-101,1
366,11212-7,1
367,19760-26,1
368,19622-7,1
369,17396-23,1
370,2796-62,3
371,5854-60,2
372,22068-5,1
373,22578-17,1
374,13459-30,1
375,21354-92,2
376,11203-97,2
377,21501-30,1
378,9749-190,1
379,17742-2,2
380,23225-26,1
381,9402-18,1
382,20527-47,1
383,16760-2,1
384,17828-3,3
385,15607-56,1
386,2637-77,1
387,14337-1,2
388,24953-27,1
389,8312-139,1
390,13671-40,1
391,12568-14,1
392,20103-176,1
393,4988-49,1
394,12572-236,1
395,3415-61,1
396,3730-81,1
397,19630-2,1
398,23386-38,1
399,2585-2,1
400,15570-99,1
401,14115-34,1
