,SeqId,Count
0,9456-34,80
1,20087-3,78
2,23296-29,70
3,9545-156,69
4,5934-1,64
5,15324-58,64
6,5087-5,80
7,4234-8,49
8,3366-51,78
9,3196-6,63
10,5620-13,78
11,25459-3,79
12,21764-99,39
13,9595-11,55
14,3221-54,55
15,23588-9,46
16,11278-4,53
17,25964-12,44
18,4125-52,38
19,3484-60,16
20,10365-132,34
21,14012-17,23
22,3336-50,49
23,8233-2,62
24,5636-10,75
25,5691-2,9
26,2436-49,9
27,12549-33,36
28,23200-25,33
29,6897-38,41
30,16558-2,1
31,19760-26,3
32,4126-22,16
33,8427-118,14
34,15526-33,34
35,17210-2,31
36,8841-65,11
37,8601-167,39
38,2681-23,4
39,3041-55,33
40,10382-1,24
41,3505-6,18
42,23581-131,30
43,17828-3,14
44,15417-3,19
45,4158-54,45
46,5598-3,42
47,7810-20,47
48,23767-1,3
49,13671-40,9
50,3314-74,33
51,23358-42,13
52,22482-87,7
53,15626-223,11
54,3291-30,48
55,23310-51,3
56,15565-102,10
57,23305-38,10
58,13948-50,32
59,15368-3,35
60,25951-17,6
61,8923-94,43
62,15570-99,8
63,17693-2,46
64,13738-8,29
65,21143-10,36
66,12382-2,27
67,3327-27,1
68,6485-59,36
69,7127-3,30
70,21384-2,10
71,9242-11,19
72,15582-25,19
73,21115-48,2
74,9933-49,15
75,2950-57,4
76,18166-4,4
77,11462-8,10
78,6415-90,4
79,6227-1,51
80,8469-41,34
81,2570-72,29
82,25948-18,3
83,13067-5,2
84,12768-3,21
85,8819-3,32
86,8288-27,12
87,22033-7,1
88,9337-43,1
89,6379-62,5
90,11214-40,1
91,14614-41,54
92,23327-1,4
93,10866-60,1
94,5063-12,4
95,19273-3,3
96,21392-15,2
97,13692-154,2
98,4541-49,13
99,5852-6,13
100,21685-29,23
101,2913-1,49
102,8418-30,8
103,3305-6,6
104,11208-15,13
105,7083-74,3
106,25292-6,18
107,14125-5,5
108,21590-9,17
109,8468-19,8
110,9316-67,1
111,15698-6,18
112,23369-17,3
113,3302-58,3
114,5854-60,3
115,4979-34,10
116,6425-87,4
117,7182-1,2
118,21660-4,14
119,22074-35,24
120,10615-18,11
121,11186-12,8
122,10907-116,6
123,10574-10,2
124,21887-2,15
125,5476-66,20
126,9769-48,4
127,14068-29,5
128,11277-23,5
129,3447-64,4
130,5635-66,6
131,13701-2,3
132,6629-3,8
133,23336-2,6
134,18193-165,6
135,13727-44,12
136,11318-20,2
137,12653-13,14
138,5728-60,12
139,15614-168,1
140,4413-3,2
141,15470-11,8
142,7015-8,14
143,19556-12,7
144,3309-2,5
145,2190-55,3
146,15446-25,3
147,18873-8,3
148,11851-21,3
149,3184-25,1
150,9183-7,15
151,9370-69,6
152,5699-19,13
153,12854-3,10
154,3284-75,33
155,3040-59,13
156,13132-14,8
157,21883-17,2
158,5491-12,2
159,23611-16,4
160,4983-6,8
161,7959-34,18
162,21691-27,1
163,20511-3,3
164,15516-12,3
165,9837-60,16
166,13042-7,6
167,4559-64,2
168,13374-4,8
169,10015-119,3
170,6621-10,14
171,15388-24,1
172,17335-18,6
173,3580-25,3
174,5792-8,10
175,23326-10,3
176,8051-10,4
177,3592-4,5
178,13720-95,5
179,15521-4,23
180,13691-10,5
181,21182-8,15
182,8240-207,1
183,8407-84,1
184,19190-4,4
185,17153-46,3
186,4866-59,8
187,6464-40,1
188,19372-7,4
189,2993-1,7
190,5410-53,7
191,21144-160,15
192,8569-147,9
193,18242-8,6
194,18347-15,5
195,21546-20,3
196,16927-9,5
197,23529-11,6
198,3730-81,2
199,4906-35,4
200,19558-10,2
201,16763-11,9
202,10754-113,2
203,2994-71,2
204,9094-5,3
205,4467-49,13
206,4151-6,1
207,12800-5,4
208,10490-3,1
209,2891-1,1
210,14042-11,7
211,21916-82,1
212,5015-15,2
213,6973-111,8
214,10620-21,4
215,13733-5,1
216,11387-3,1
217,11152-46,7
218,4929-55,6
219,13699-6,1
220,17161-1,2
221,7196-21,1
222,6393-63,4
223,2788-55,1
224,2879-9,1
225,9212-22,6
226,5735-54,4
227,3320-49,7
228,7146-5,1
229,4162-54,2
230,3581-53,2
231,4876-32,1
232,21354-92,5
233,12686-15,3
234,24440-11,5
235,8220-15,2
236,17364-8,6
237,4907-56,1
238,9077-10,1
239,4152-58,5
240,2806-49,5
241,3423-59,1
242,22844-4,1
243,22479-64,1
244,9377-25,2
245,12568-14,1
246,9282-12,3
247,6706-18,1
248,8312-139,3
249,12338-27,1
250,2705-5,2
251,3122-6,3
252,3837-6,3
253,8039-41,1
254,14337-1,1
255,8367-142,5
256,7655-11,2
257,24490-16,4
258,15584-9,1
259,23620-16,4
260,7951-146,3
261,11212-7,1
262,11549-6,1
263,4925-54,1
264,23210-4,1
265,21501-30,5
266,8958-51,1
267,10743-13,2
268,7933-75,2
269,20460-22,3
270,6035-2,1
271,12373-73,1
272,19381-7,1
273,15483-377,1
274,16315-105,1
275,13492-44,1
276,15635-4,2
277,7748-11,1
278,3179-51,1
279,16902-17,1
280,19630-2,2
281,23699-61,2
282,20939-113,7
283,2619-72,2
284,21184-1,1
285,5337-64,2
286,9713-67,2
287,5708-1,1
288,13123-3,1
289,2774-10,1
290,3807-1,2
291,5688-65,1
292,8250-2,1
293,10833-64,2
294,21768-9,1
295,5701-81,5
296,6408-2,1
297,21676-17,2
298,23629-4,2
299,15617-8,1
300,6209-2,4
301,13993-20,2
302,17200-50,1
303,21528-12,3
304,2658-27,3
305,2571-12,1
306,10851-77,7
307,21957-12,1
308,21655-18,1
309,10565-19,1
310,7813-6,3
311,21653-205,1
312,15509-2,1
313,15530-33,1
314,6372-7,1
315,12650-43,4
