,SeqId,Count
0,25459-3,72
1,22506-25,63
2,25948-18,20
3,4126-22,65
4,5476-66,79
5,19614-8,66
6,2681-23,51
7,11318-20,69
8,3309-2,50
9,10754-113,61
10,20087-3,72
11,7020-13,53
12,24457-12,59
13,5691-2,77
14,9370-69,70
15,15606-19,71
16,19141-22,57
17,7839-99,60
18,21691-27,44
19,3803-10,22
20,20423-40,12
21,21828-6,36
22,14066-49,16
23,3714-49,13
24,13486-9,49
25,23327-1,64
26,21764-99,35
27,6897-38,60
28,2950-57,51
29,21143-10,26
30,23588-9,73
31,5412-53,4
32,8893-29,20
33,22496-21,12
34,21321-2,22
35,25452-16,41
36,23620-16,10
37,13097-11,13
38,18286-3,11
39,19760-26,4
40,5636-10,26
41,20398-60,65
42,23424-4,6
43,23661-61,5
44,2774-10,9
45,6629-3,55
46,10615-18,20
47,15698-6,24
48,18166-4,11
49,8086-49,32
50,5087-5,58
51,13671-40,58
52,8601-167,2
53,4234-8,68
54,9456-34,41
55,10365-132,40
56,13738-8,8
57,18873-8,35
58,7810-20,38
59,9204-33,32
60,4467-49,12
61,8589-13,28
62,15480-2,64
63,18242-8,1
64,4127-75,3
65,23296-29,62
66,15347-12,5
67,12848-9,5
68,11177-16,45
69,23200-25,38
70,6557-50,1
71,19272-9,14
72,5741-55,20
73,5735-54,4
74,16763-11,25
75,5015-15,2
76,14073-31,5
77,9207-60,45
78,21501-30,34
79,3636-37,25
80,9906-21,2
81,10743-13,1
82,4152-58,8
83,8967-6,35
84,2637-77,3
85,5084-154,4
86,14038-130,5
87,25964-12,12
88,17145-1,2
89,8923-94,3
90,3484-60,39
91,6383-90,1
92,20103-176,17
93,24307-22,5
94,6252-62,3
95,9979-13,2
96,7965-25,18
97,13022-20,6
98,23544-10,20
99,6334-9,1
100,2860-19,2
101,19819-7,5
102,4151-6,3
103,8760-10,8
104,18336-31,13
105,11556-19,4
106,5716-49,12
107,21395-23,5
108,23309-11,4
109,13993-20,9
110,17364-8,2
111,2878-66,17
112,15576-158,7
113,10693-43,4
114,20437-9,3
115,25089-21,23
116,3581-53,10
117,15633-6,2
118,7831-39,4
119,23253-5,16
120,18832-65,4
121,19296-51,22
122,4983-6,1
123,6621-10,9
124,24962-7,5
125,9898-161,10
126,15522-2,1
127,3514-49,3
128,22479-64,2
129,11405-150,12
130,17828-3,2
131,13731-14,9
132,5657-28,11
133,16594-44,1
134,10981-56,13
135,25087-11,17
136,5617-41,5
137,12568-14,6
138,10382-1,3
139,2580-83,15
140,9015-1,14
141,12518-289,13
142,13720-95,27
143,3314-74,1
144,15483-377,3
145,13447-42,16
146,6409-57,9
147,10490-3,17
148,5598-3,4
149,6425-87,8
150,21967-20,21
151,2714-78,1
152,2436-49,7
153,3399-31,10
154,22147-19,2
155,5708-1,19
156,5620-13,6
157,7015-8,12
158,13733-5,2
159,9076-25,1
160,7161-25,5
161,19130-81,4
162,8469-41,3
163,21182-8,1
164,14100-63,2
165,7849-3,1
166,21624-64,3
167,21441-20,1
168,18943-4,6
169,23305-38,4
170,25255-4,1
171,24937-7,2
172,10892-8,1
173,11160-56,11
174,22152-162,5
175,4876-32,3
176,3175-51,3
177,5307-12,4
178,13495-48,3
179,13990-1,6
180,13727-44,3
181,20444-12,1
182,20237-38,2
183,5178-5,4
184,9595-11,2
185,7182-1,1
186,15594-47,4
187,11814-29,8
188,11214-40,5
189,21310-37,5
190,3808-76,1
191,22831-11,1
192,2211-9,12
193,8969-49,8
194,9316-67,6
195,6997-32,3
196,12881-17,2
197,21348-22,5
198,13704-5,3
199,15516-12,3
200,13741-36,4
201,13067-5,8
202,11278-4,1
203,21957-12,3
204,19273-3,2
205,11430-49,1
206,17516-7,1
207,19606-28,6
208,15395-15,1
209,6963-82,3
210,9372-157,2
211,5036-50,12
212,18395-5,2
213,3414-40,7
214,21392-15,9
215,10565-19,6
216,2913-1,1
217,16902-17,5
218,18175-65,3
219,2796-62,1
220,13112-179,6
221,8288-27,2
222,2879-9,4
223,15486-126,7
224,15506-34,1
225,10851-77,2
226,6209-2,12
227,23007-8,4
228,3415-61,7
229,5637-81,5
230,3323-37,4
231,11237-49,3
232,3366-51,4
233,3069-52,1
234,6364-7,1
235,8819-3,2
236,2570-72,1
237,7951-146,1
238,20975-2,1
239,14759-149,3
240,11229-16,3
241,11370-20,1
242,14011-17,1
243,9235-3,1
244,14125-5,1
245,2677-1,1
246,7898-29,2
247,18907-97,2
248,9377-25,1
249,3310-62,4
250,14068-29,4
251,4541-49,5
252,13948-50,2
253,3505-6,3
254,13114-50,3
255,7127-3,1
256,3805-16,3
257,3336-50,3
258,8312-139,1
259,4148-49,3
260,3184-25,1
261,10551-7,3
262,6379-62,2
263,21397-21,1
264,6408-2,1
265,11142-11,2
266,11440-58,4
267,9035-2,2
268,8252-2,1
269,15324-58,6
270,15582-25,3
271,24027-32,2
272,5934-1,3
273,13459-30,4
274,22961-7,1
275,3388-58,2
276,24055-44,2
277,5345-51,3
278,6423-66,2
279,10391-1,2
280,21864-20,4
281,6631-17,2
282,21152-25,7
283,3024-18,2
284,15446-25,1
285,3554-24,1
286,4964-67,2
287,24640-63,2
288,15635-4,2
289,15374-15,1
290,14318-1,7
291,7717-95,5
292,3516-60,1
293,14148-2,1
294,4184-43,1
295,5722-78,1
296,22113-2,1
297,12457-10,1
298,23767-1,2
299,2670-67,1
300,21833-6,1
301,3312-64,2
302,25041-11,1
303,11118-107,1
304,19280-29,3
305,15468-14,2
306,12046-51,1
307,2993-1,1
308,8059-1,1
309,9959-60,2
310,3313-21,1
311,17335-18,1
312,3730-81,2
313,21706-29,2
314,3041-55,2
315,22578-17,1
316,21546-20,4
317,4153-11,1
318,7083-74,1
319,6373-54,1
320,4546-27,1
321,7049-2,1
322,17791-25,1
323,3400-49,1
324,22019-21,1
325,5689-1,2
326,11208-15,1
327,8367-142,1
