,SeqId,Count
0,21206-218,62
1,11120-49,32
2,3284-75,50
3,23305-38,37
4,21967-20,77
5,10565-19,19
6,8398-277,12
7,13374-4,53
8,21533-51,54
9,17693-2,56
10,6379-62,67
11,25452-16,24
12,13486-9,56
13,20411-52,25
14,7198-197,12
15,3538-26,6
16,23661-61,38
17,5476-66,75
18,2358-19,79
19,24440-11,70
20,5648-28,25
21,21655-18,55
22,20458-22,15
23,24457-12,5
24,22844-4,3
25,15516-12,13
26,2500-2,9
27,9237-54,12
28,25240-1,7
29,14068-29,58
30,8021-59,7
31,7962-11,11
32,3045-72,32
33,25057-2,8
34,5792-8,2
35,22777-46,1
36,3024-18,5
37,17828-3,73
38,7200-4,65
39,5087-5,4
40,4413-3,19
41,3388-58,3
42,17758-79,2
43,21144-160,20
44,12650-43,60
45,21720-13,5
46,13459-30,19
47,5852-6,4
48,13553-4,6
49,8469-41,54
50,9377-25,22
51,8819-3,40
52,2570-72,40
53,8837-8,19
54,21143-10,34
55,18332-17,7
56,21676-17,45
57,7157-22,3
58,4468-21,12
59,8091-16,15
60,8758-2,6
61,3232-28,58
62,21354-92,7
63,5084-154,15
64,15565-102,45
65,3484-60,25
66,20388-8,33
67,14100-63,19
68,15633-6,9
69,3313-21,1
70,7655-11,1
71,22496-21,5
72,12848-9,18
73,6259-60,20
74,24907-3,2
75,4983-6,39
76,17510-7,2
77,21696-80,27
78,6649-51,17
79,21660-4,24
80,25912-131,3
81,21685-29,41
82,23620-16,47
83,21393-62,8
84,13744-37,14
85,7146-5,12
86,9212-22,27
87,4914-10,1
88,16614-27,5
89,5637-81,4
90,17335-18,3
91,14048-7,7
92,13408-23,3
93,7849-3,25
94,3800-71,10
95,23531-79,17
96,15470-11,1
97,9933-49,13
98,13738-8,4
99,4964-67,18
100,9126-171,3
101,25948-18,28
102,24962-7,8
103,16322-10,8
104,25244-9,1
105,9204-33,16
106,19558-10,20
107,3326-58,32
108,9514-46,8
109,8780-2,13
110,23296-29,11
111,14115-34,8
112,3415-61,3
113,23566-6,12
114,10015-119,25
115,21995-20,2
116,7810-20,7
117,23309-11,3
118,16558-2,2
119,9370-69,17
120,8601-167,47
121,13256-21,18
122,2765-4,14
123,9021-1,7
124,7779-86,2
125,4234-8,2
126,18242-8,3
127,15324-58,2
128,17210-2,1
129,20939-113,12
130,21688-50,31
131,11383-41,5
132,15617-8,10
133,13464-8,2
134,9959-60,23
135,3309-2,9
136,6425-87,8
137,19253-82,6
138,3175-51,9
139,8367-142,3
140,18935-14,8
141,19294-26,15
142,5708-1,14
143,3336-50,6
144,18943-4,3
145,25255-4,13
146,20539-4,2
147,14079-14,1
148,16908-5,12
149,6621-10,21
150,3059-50,17
151,24490-16,11
152,2705-5,18
153,7127-3,2
154,2913-1,2
155,3837-6,3
156,20561-15,22
157,19561-216,15
158,14011-17,3
159,3470-1,19
160,5596-75,4
161,3583-54,4
162,8233-2,5
163,4922-13,5
164,24686-19,4
165,6409-57,4
166,3580-25,10
167,11089-7,1
168,23767-1,21
169,12808-103,37
170,20103-176,5
171,24027-32,7
172,4992-49,2
173,14237-1,7
174,5725-1,24
175,4271-75,5
176,20075-130,4
177,15494-11,3
178,23258-56,2
179,19141-22,2
180,24493-10,5
181,7955-195,6
182,7831-39,10
183,12653-13,6
184,24222-10,2
185,8967-6,3
186,23529-11,16
187,2714-78,7
188,12671-35,10
189,2670-67,2
190,11836-144,3
191,6927-7,1
192,14086-11,1
193,4535-50,1
194,19190-4,2
195,13490-1,5
196,3169-70,1
197,13392-13,2
198,3061-61,3
199,3044-3,30
200,3587-53,3
201,23638-3,13
202,4559-64,11
203,14759-149,5
204,8428-102,4
205,10851-77,1
206,20970-14,18
207,18342-2,7
208,4876-32,3
209,4534-10,2
210,4324-33,2
211,3173-49,5
212,7020-13,2
213,11462-8,3
214,2567-5,7
215,25459-3,19
216,23310-51,4
217,12568-14,15
218,3221-54,3
219,5340-24,4
220,13731-14,1
221,5699-19,13
222,20087-3,7
223,20568-3,11
224,21107-5,2
225,21764-99,19
226,20373-141,7
227,9819-110,5
228,12732-13,4
229,14619-8,3
230,3714-49,3
231,13712-104,4
232,18286-3,10
233,23321-42,3
234,12382-2,1
235,22005-8,4
236,19280-29,5
237,9581-4,10
238,3399-31,1
239,10420-30,5
240,2837-3,1
241,3220-40,2
242,16315-105,2
243,23253-5,5
244,3322-52,5
245,7948-129,2
246,13130-150,2
247,25499-37,3
248,10551-7,4
249,4991-12,4
250,14125-5,2
251,24922-19,2
252,5728-60,11
253,2681-23,3
254,22055-31,1
255,8246-9,1
256,2706-69,1
257,4126-22,3
258,11647-6,4
259,3505-6,3
260,17346-61,4
261,3040-59,19
262,5688-65,11
263,3366-51,3
264,21115-48,2
265,21722-21,1
266,16773-29,1
267,11134-30,4
268,12856-14,3
269,3305-6,4
270,21670-52,1
271,22783-40,2
272,19257-11,1
273,21949-4,1
274,21796-43,3
275,13384-110,2
276,12345-4,2
277,21819-9,2
278,8304-50,4
279,3758-68,1
280,4141-79,1
281,2474-54,1
282,20975-2,4
283,21141-9,1
284,17364-8,1
285,9848-22,1
286,8312-139,1
287,17806-6,2
288,21306-7,1
289,11696-7,4
290,5716-49,1
291,20237-38,4
292,5307-12,2
293,17777-31,2
294,6385-63,1
295,6629-3,2
296,4807-13,2
297,20437-9,1
