,SeqId,Count
0,13447-42,79
1,6504-65,52
2,7810-20,54
3,5476-66,80
4,20087-3,80
5,10365-132,24
6,15594-47,11
7,5087-5,26
8,15368-3,5
9,5722-78,43
10,5861-78,3
11,13738-8,56
12,10980-11,54
13,13565-2,5
14,3173-49,56
15,4673-13,13
16,9370-69,67
17,2597-8,12
18,4964-67,9
19,4141-79,18
20,5691-2,56
21,9233-71,4
22,2211-9,3
23,21764-99,27
24,4126-22,65
25,17346-61,13
26,24490-16,24
27,14068-29,13
28,3339-33,2
29,9212-22,49
30,6217-23,22
31,9204-33,7
32,3636-37,15
33,4922-13,37
34,6606-61,1
35,24440-11,13
36,18880-81,11
37,3399-31,1
38,8969-49,2
39,13492-44,12
40,15483-377,13
41,5353-89,21
42,22534-14,5
43,10565-19,6
44,23210-4,2
45,5581-28,6
46,21967-20,27
47,3364-76,28
48,25967-34,1
49,13067-5,34
50,13939-14,58
51,8601-167,71
52,25459-3,49
53,13658-31,9
54,6947-4,45
55,6621-10,69
56,10382-1,31
57,11160-56,60
58,23309-11,49
59,8893-29,24
60,24951-3,9
61,4234-8,39
62,25912-131,30
63,7127-3,17
64,13993-20,18
65,4995-16,19
66,6425-87,13
67,13042-7,18
68,24457-12,24
69,4342-10,1
70,14011-17,5
71,7849-3,18
72,11142-11,41
73,12490-92,14
74,8967-6,35
75,4159-130,1
76,3024-18,9
77,8464-31,4
78,3059-50,5
79,20103-176,30
80,4467-49,14
81,12732-13,12
82,15544-25,3
83,9267-2,12
84,10815-2,5
85,16760-2,15
86,9514-46,42
87,20437-9,44
88,22786-57,2
89,7200-4,1
90,12041-33,1
91,9337-43,1
92,8304-50,5
93,20584-4,42
94,6379-62,15
95,15633-6,1
96,14318-1,18
97,23661-61,4
98,25452-16,4
99,20538-71,10
100,20423-40,4
101,3807-1,17
102,23588-9,16
103,11134-30,45
104,11120-49,4
105,10851-77,20
106,17693-2,13
107,23296-29,10
108,19819-7,8
109,5412-53,12
110,13112-179,22
111,23200-25,1
112,15486-126,5
113,8819-3,10
114,3322-52,18
115,9357-4,2
116,4152-58,3
117,2837-3,43
118,2950-57,52
119,8233-2,11
120,6649-51,1
121,2714-78,22
122,15452-5,6
123,13690-26,16
124,11177-16,5
125,2573-20,2
126,14077-6,1
127,5001-6,5
128,6209-2,2
129,8837-8,16
130,15480-2,5
131,13712-104,1
132,14134-49,1
133,3714-49,20
134,11556-19,7
135,11430-49,9
136,3623-84,13
137,3326-58,10
138,21492-19,14
139,2711-6,21
140,6172-7,11
141,23258-56,11
142,3709-4,22
143,22154-37,3
144,21501-30,7
145,9312-8,6
146,21771-47,8
147,13547-5,2
148,10490-3,9
149,4906-35,1
150,3592-4,1
151,14614-41,20
152,14759-149,9
153,22578-17,2
154,18380-78,14
155,13631-1,9
156,20373-141,11
157,8589-13,7
158,5345-51,11
159,19257-11,5
160,24441-7,13
161,23274-27,5
162,21172-11,13
163,21321-2,32
164,6229-13,8
165,13628-58,4
166,5178-5,1
167,22816-4,3
168,25951-17,4
169,18873-8,14
170,20383-31,7
171,11318-20,12
172,3583-54,7
173,14029-42,10
174,22128-8,7
175,23386-38,6
176,20461-58,8
177,24640-63,26
178,3299-29,5
179,24921-73,1
180,13680-3,5
181,4988-49,5
182,4123-60,4
183,23547-21,7
184,10391-1,9
185,4493-92,3
186,17782-23,14
187,23531-79,20
188,21143-10,3
189,13495-48,6
190,3821-28,3
191,5680-54,5
192,2731-29,11
193,23529-11,2
194,7146-5,2
195,4127-75,1
196,12848-9,6
197,5605-77,4
198,4712-28,6
199,12568-14,5
200,2567-5,1
201,3220-40,2
202,18317-111,1
203,12585-39,1
204,25901-3,3
205,12382-2,4
206,9898-161,3
207,6897-38,16
208,2878-66,1
209,21310-37,2
210,20979-86,3
211,3808-76,3
212,12759-47,3
213,15582-25,3
214,23620-16,4
215,2670-67,1
216,19236-24,12
217,20398-60,7
218,14041-13,6
219,14116-129,6
220,2570-72,2
221,11203-97,1
222,3198-4,3
223,15426-5,22
224,10496-11,7
225,16763-11,1
226,25964-12,2
227,8620-56,3
228,8043-153,4
229,13671-40,1
230,18882-7,1
231,19280-29,8
232,9933-49,3
233,5725-1,1
234,21206-218,1
235,24286-48,10
236,18859-7,4
237,5358-3,2
238,25300-39,4
239,19272-9,3
240,5008-51,3
241,23305-38,3
242,13438-115,11
243,6393-63,4
244,12572-236,7
245,13678-169,5
246,8469-41,2
247,21691-27,3
248,5628-21,1
