,SeqId,Count
0,5476-66,80
1,13447-42,76
2,20087-3,79
3,2837-3,53
4,11134-30,72
5,8601-167,73
6,21764-99,31
7,8837-8,47
8,6379-62,61
9,10565-19,38
10,12848-9,33
11,6621-10,54
12,8021-59,2
13,4126-22,44
14,21967-20,71
15,24490-16,45
16,3206-4,15
17,19257-11,5
18,12568-14,33
19,21676-17,22
20,21771-47,45
21,24440-11,72
22,7146-5,14
23,22019-21,25
24,21696-80,49
25,23305-38,19
26,3173-49,22
27,6947-4,16
28,21533-51,23
29,6471-53,6
30,24951-3,28
31,23529-11,10
32,12650-43,36
33,8759-29,5
34,9959-60,53
35,21392-15,18
36,7127-3,26
37,9514-46,17
38,10851-77,37
39,13459-30,20
40,11814-29,14
41,8819-3,23
42,6077-63,6
43,13738-8,27
44,5691-2,49
45,17828-3,20
46,3232-28,27
47,21143-10,32
48,21770-18,3
49,11187-11,2
50,13067-5,35
51,5412-53,1
52,25459-3,57
53,12732-13,15
54,23274-27,7
55,23620-16,24
56,21655-18,19
57,9370-69,58
58,13993-20,11
59,13486-9,38
60,7020-13,2
61,21321-2,18
62,23588-9,21
63,21206-218,34
64,3305-6,12
65,11160-56,24
66,3583-54,19
67,14068-29,22
68,18873-8,18
69,13438-115,25
70,11556-19,6
71,13678-169,3
72,7198-197,17
73,8367-142,5
74,6504-65,29
75,9933-49,7
76,7200-4,18
77,4922-13,24
78,5087-5,20
79,5648-28,3
80,5084-154,33
81,2573-20,18
82,13939-14,18
83,11405-150,3
84,8780-2,16
85,6425-87,34
86,3059-50,40
87,9581-4,2
88,15470-11,6
89,2570-72,8
90,20411-52,5
91,21688-50,14
92,6259-60,1
93,14100-63,5
94,9212-22,19
95,7810-20,26
96,3041-55,4
97,25912-131,33
98,3309-2,6
99,2358-19,21
100,21660-4,2
101,4673-13,15
102,8091-16,13
103,3714-49,17
104,3284-75,52
105,4983-6,5
106,12808-103,10
107,7849-3,11
108,11260-47,5
109,8967-6,20
110,8043-153,2
111,11142-11,35
112,19606-28,1
113,3322-52,15
114,15486-126,6
115,4234-8,50
116,3326-58,21
117,15594-47,3
118,9204-33,31
119,22534-14,15
120,23309-11,16
121,6649-51,20
122,2950-57,28
123,13256-21,16
124,5680-54,8
125,5722-78,13
126,11208-15,1
127,3800-71,6
128,4467-49,7
129,13495-48,12
130,9384-17,13
131,14011-17,7
132,4964-67,11
133,25499-37,9
134,14614-41,16
135,12461-8,1
136,23524-2,2
137,20584-4,3
138,19280-29,11
139,23531-79,34
140,13130-150,12
141,13384-110,3
142,20538-71,6
143,4568-17,1
144,20437-9,15
145,3484-60,23
146,2714-78,21
147,7194-36,3
148,10365-132,23
149,11380-84,5
150,6897-38,11
151,16908-5,5
152,25452-16,13
153,25964-12,1
154,14116-129,4
155,8464-31,1
156,12585-39,7
157,15483-377,4
158,6629-3,7
159,8469-41,9
160,13374-4,5
161,18921-30,1
162,20970-14,1
163,5080-131,1
164,21441-20,3
165,18332-17,1
166,5636-10,7
167,24457-12,4
168,8893-29,16
169,21995-20,23
170,23661-61,8
171,25240-1,7
172,23767-1,1
173,24307-22,2
174,8233-2,7
175,21319-196,1
176,9237-54,6
177,17693-2,18
178,23296-29,19
179,13733-5,7
180,14115-34,9
181,2705-5,3
182,11098-1,3
183,4559-64,3
184,19294-26,7
185,3399-31,3
186,11647-6,12
187,3175-51,1
188,5725-1,12
189,2670-67,10
190,9954-2,3
191,10551-7,2
192,13112-179,8
193,21722-21,2
194,10574-10,1
195,18880-81,4
196,9456-34,17
197,16763-11,4
198,12446-49,7
199,17346-61,1
200,5728-60,1
201,20586-18,1
202,3364-76,6
203,6415-90,2
204,24962-7,7
205,24640-63,3
206,9267-2,4
207,20103-176,19
208,2913-1,10
209,23258-56,1
210,5430-66,1
211,15446-25,1
212,11200-52,1
213,2711-6,10
214,2819-23,1
215,10981-56,5
216,13671-40,4
217,23580-2,5
218,8264-43,4
219,20458-22,1
220,19236-24,1
221,2597-8,8
222,14619-8,4
223,6385-63,2
224,4141-79,5
225,21796-43,5
226,4991-12,5
227,13565-2,3
228,15368-3,15
229,12686-15,2
230,20373-141,3
231,20055-40,1
232,4481-34,1
233,18859-7,3
234,2972-57,1
235,14254-27,1
236,3415-61,5
237,5708-1,5
238,14134-49,2
239,20442-12,2
240,3538-26,1
241,2763-66,1
242,11120-49,10
243,17724-3,1
244,6440-31,1
245,25057-2,2
246,23007-8,4
247,3898-5,1
248,2788-55,1
249,12454-105,3
250,20427-18,1
251,9876-20,1
252,2649-77,3
253,11177-16,2
254,3581-53,1
255,3208-2,1
256,3388-58,4
257,3506-49,1
258,2838-53,2
259,19823-75,5
260,10815-2,3
261,15617-8,1
262,13490-1,5
263,8969-49,1
264,13697-51,1
265,13055-53,1
266,10980-11,5
267,25041-11,3
268,8900-28,1
269,10490-3,1
270,8304-50,1
271,21720-13,1
272,14759-149,2
273,17364-8,1
274,2768-56,2
275,12653-13,1
276,22961-7,1
277,7870-8,1
278,15565-102,5
279,10015-119,2
280,7083-74,2
281,3336-50,2
282,7655-11,1
283,4468-21,1
284,21546-20,3
285,23699-61,3
286,11538-216,2
287,22844-4,3
288,16773-29,1
289,19799-2,2
290,3314-74,1
291,19622-7,8
292,2966-65,4
293,25948-18,7
294,16614-27,1
295,2778-10,1
296,2630-12,1
297,24941-14,1
298,13073-14,4
299,18242-8,1
300,4500-50,3
301,8246-9,2
302,22005-8,1
303,17782-23,1
304,21828-6,2
305,3709-4,5
306,11510-31,1
307,17806-6,1
308,8569-147,1
309,13078-3,1
310,23327-1,10
311,21949-4,1
312,15324-58,1
313,5934-1,1
314,4271-75,4
315,23547-21,1
316,13992-12,2
317,22783-40,3
318,2333-72,1
319,21667-57,1
320,22576-1,1
321,23567-37,1
322,8337-65,1
323,6927-7,3
324,10382-1,2
325,6227-1,1
326,23342-4,1
327,24441-7,2
328,3045-72,1
329,21691-27,2
330,3196-6,1
331,3044-3,2
332,22591-4,1
333,10575-31,1
334,12987-12,1
335,11462-8,1
336,21685-29,4
337,11836-144,1
338,20217-26,1
