,SeqId,Count
0,13671-40,51
1,3636-37,45
2,4126-22,48
3,15698-6,6
4,10754-113,52
5,18873-8,62
6,9015-1,46
7,15480-2,74
8,5741-55,19
9,5691-2,67
10,7810-20,74
11,22506-25,8
12,19614-8,50
13,24457-12,51
14,17742-2,9
15,19141-22,46
16,20103-176,79
17,13690-26,44
18,7020-13,48
19,23424-4,39
20,15576-158,23
21,3399-31,9
22,13486-9,52
23,25948-18,69
24,23296-29,75
25,20411-52,1
26,21206-218,1
27,23588-9,79
28,3414-40,24
29,5036-50,51
30,25087-11,3
31,23327-1,67
32,2681-23,52
33,23356-32,5
34,8967-6,5
35,25452-16,11
36,20087-3,70
37,25057-2,5
38,2950-57,63
39,11177-16,43
40,6209-2,37
41,22479-64,11
42,15432-1,36
43,18286-3,3
44,2449-1,2
45,24307-22,5
46,9370-69,43
47,13097-11,5
48,2580-83,15
49,5476-66,12
50,23544-10,11
51,18166-4,7
52,21143-10,16
53,9456-34,53
54,20590-13,25
55,9506-10,2
56,13993-20,37
57,8759-29,2
58,25240-1,10
59,10565-19,3
60,25459-3,36
61,21764-99,8
62,3184-25,19
63,15368-3,6
64,6409-57,52
65,5708-1,53
66,22576-1,2
67,14038-130,12
68,5636-10,5
69,2597-8,9
70,8893-29,18
71,21310-37,16
72,11318-20,24
73,4127-75,10
74,5716-49,7
75,3029-52,6
76,11134-30,15
77,22496-21,1
78,11160-56,5
79,3388-58,6
80,21828-6,28
81,23253-5,6
82,14110-200,4
83,13067-5,47
84,9372-157,18
85,21864-20,3
86,11405-150,16
87,5345-51,18
88,7839-99,7
89,7717-95,8
90,10892-8,7
91,21967-20,47
92,14318-1,22
93,13112-179,21
94,7779-86,10
95,15486-126,48
96,12881-17,14
97,3346-72,7
98,5084-154,2
99,3415-61,19
100,9316-67,10
101,7059-14,5
102,5637-81,15
103,13990-1,6
104,10365-132,33
105,17777-31,16
106,24440-11,6
107,3484-60,21
108,7999-23,15
109,3302-58,3
110,2429-27,2
111,8974-172,1
112,21804-15,2
113,3714-49,38
114,8374-5,6
115,3587-53,12
116,23309-11,7
117,10851-77,16
118,15455-40,1
119,21706-29,1
120,15594-47,2
121,6388-21,9
122,25967-34,18
123,2878-66,14
124,3339-33,2
125,9819-110,1
126,5617-41,6
127,21655-18,1
128,3622-33,1
129,11142-11,15
130,13447-42,32
131,13392-13,6
132,20165-4,1
133,4549-78,2
134,18943-4,4
135,21667-57,2
136,10490-3,2
137,4467-49,28
138,8091-16,5
139,4673-13,1
140,19606-28,11
141,16773-29,2
142,24690-1,2
143,6629-3,16
144,16763-11,34
145,2979-8,2
146,5087-5,27
147,15468-14,6
148,3808-76,2
149,2714-78,6
150,10620-21,30
151,15635-4,2
152,4234-8,16
153,17387-27,1
154,16305-10,11
155,2828-82,4
156,21348-22,14
157,8086-49,6
158,3730-81,11
159,18907-97,12
160,5738-25,2
161,6260-14,1
162,13123-3,3
163,22365-52,1
164,6252-62,1
165,25244-9,11
166,4301-58,6
167,13727-44,3
168,2670-67,13
169,9204-33,25
170,12557-18,7
171,3175-51,3
172,5015-15,6
173,7200-4,9
174,14066-49,3
175,11814-29,6
176,16926-44,1
177,23605-3,1
178,6997-32,8
179,20461-58,2
180,21501-30,16
181,19272-9,14
182,15606-19,26
183,15617-8,15
184,8367-142,12
185,6257-56,1
186,6064-4,5
187,5412-53,4
188,11556-19,2
189,9207-60,3
190,8760-10,6
191,18193-165,12
192,7926-13,12
193,9848-22,5
194,14759-149,6
195,17346-61,8
196,17357-33,3
197,4148-49,3
198,10615-18,1
199,21354-92,1
200,23007-8,6
201,8589-13,3
202,11422-2,1
203,25964-12,8
204,4922-13,6
205,5598-3,1
206,8923-94,3
207,23200-25,16
208,2211-9,12
209,23702-98,1
210,13733-5,5
211,2771-35,14
212,10382-1,2
213,23625-44,6
214,23173-3,6
215,3309-2,3
216,17364-8,1
217,4979-34,1
218,21321-2,12
219,2860-19,3
220,6172-7,6
221,10015-119,1
222,9514-46,4
223,2994-71,1
224,9959-60,9
225,21691-27,7
226,4152-58,2
227,17348-5,1
228,21957-12,6
229,16594-44,3
230,3592-4,1
231,8957-72,5
232,25464-1,2
233,21546-20,1
234,6947-4,3
235,9277-16,1
236,20423-40,2
237,22486-58,3
238,4184-43,4
239,10445-20,1
240,13720-95,3
241,18832-65,11
242,5138-50,1
243,20437-9,7
244,10743-13,5
245,3069-52,1
246,3803-10,9
247,23620-16,2
248,11203-97,4
249,8484-24,2
250,8305-18,1
251,12681-63,3
252,13741-36,10
253,15499-11,4
254,5737-61,5
255,3284-75,1
256,13055-53,4
257,19823-75,2
258,23394-125,14
259,11383-41,1
260,21891-31,2
261,15626-223,2
262,14254-27,2
263,24962-7,2
264,19190-4,1
265,8837-8,1
266,8469-41,3
267,21392-15,2
268,5801-72,2
269,8819-3,1
270,6372-7,2
271,23274-27,2
272,24640-63,7
273,11237-49,1
274,6103-70,1
275,2658-27,3
276,8007-19,2
277,23369-17,1
278,2700-56,1
279,18317-111,2
280,22844-4,3
281,13078-3,1
282,8969-49,11
283,12518-289,2
284,10391-1,5
285,22152-162,2
286,7898-29,1
287,2711-6,2
288,5178-5,1
289,4153-11,1
290,15515-2,4
291,12446-49,1
292,15607-56,4
293,13691-10,2
294,4991-12,1
295,6941-11,2
296,25089-21,5
297,7049-2,2
298,21995-20,2
299,10981-56,4
300,2993-1,4
301,2436-49,6
302,3323-37,1
303,3366-51,2
304,6364-7,3
305,3505-6,2
306,14078-69,2
307,8601-167,6
308,2706-69,1
309,6621-10,2
310,3195-50,2
311,6897-38,2
312,4964-67,1
313,15326-64,4
314,13495-48,2
315,3312-64,4
316,7965-25,1
317,3616-3,2
318,3516-60,4
319,3364-76,3
320,2500-2,2
321,20586-18,2
322,3554-24,1
323,12490-92,1
324,2796-62,1
325,3032-11,2
326,23767-1,3
327,14073-31,2
328,11327-56,1
329,13540-1,1
330,3514-49,3
331,2826-53,1
332,3506-49,1
333,2827-23,1
334,18395-5,4
335,18831-6,3
336,10069-2,1
337,25121-7,1
338,9183-7,1
339,25438-288,1
340,20937-43,3
341,25301-48,1
342,21696-80,1
343,7015-8,1
344,19760-26,1
345,8464-31,1
346,5340-24,1
347,12585-39,1
348,9297-12,1
349,23622-128,1
350,22019-21,1
351,21476-43,1
352,13992-12,2
353,9906-21,3
354,18242-8,4
355,7146-5,1
356,24027-32,1
357,12726-3,1
358,24922-19,1
359,2906-55,1
360,9081-39,1
361,18273-14,1
362,20534-6,1
363,15446-25,1
364,3059-50,1
365,22777-46,1
366,20237-38,1
367,11462-8,2
368,18921-30,1
369,7744-10,1
370,22147-19,1
371,12568-14,1
372,13231-90,1
373,15516-12,1
374,6259-60,1
375,7831-39,1
376,2752-62,1
377,3898-5,1
378,9282-12,1
379,13459-30,1
380,3024-18,1
381,15384-15,1
382,25300-39,2
383,7787-25,1
384,5657-28,1
385,12768-3,3
386,2913-1,1
387,15324-58,1
388,4983-6,2
389,21770-18,1
390,6227-1,1
391,4158-54,2
392,11430-49,1
393,17812-2,1
394,6504-65,1
395,3310-62,1
396,15470-11,1
397,11616-9,1
398,3035-80,1
399,2677-1,1
400,19630-2,1
401,16902-17,1
402,12556-7,1
403,9590-10,1
404,14086-11,1
