,SeqId,Count
0,4829-43,69
1,20442-12,12
2,13447-42,59
3,5601-2,35
4,3714-49,55
5,21141-9,7
6,15606-19,30
7,6897-38,49
8,20103-176,80
9,6103-70,44
10,21828-6,57
11,21940-12,8
12,14237-1,7
13,21651-9,13
14,11177-16,71
15,4534-10,46
16,9848-22,9
17,22486-58,7
18,23253-5,37
19,6647-55,7
20,6431-68,17
21,4914-10,12
22,2597-8,37
23,14245-195,29
24,12329-21,24
25,13492-44,14
26,6334-9,17
27,24457-12,32
28,21206-218,56
29,15455-40,56
30,6168-11,72
31,12933-17,1
32,5725-1,34
33,21395-23,9
34,22534-14,39
35,15594-47,65
36,13676-46,11
37,23566-6,2
38,7161-25,2
39,4159-130,2
40,15521-4,5
41,8983-7,4
42,12881-17,42
43,5532-53,23
44,5430-66,8
45,13113-7,2
46,7249-37,12
47,21655-18,49
48,9002-36,34
49,6606-61,8
50,21764-99,60
51,9370-69,58
52,22506-25,20
53,23588-9,28
54,2731-29,2
55,20584-4,36
56,23767-1,30
57,4549-78,19
58,6247-9,43
59,2858-29,28
60,21967-20,30
61,8304-50,61
62,13495-48,46
63,14057-68,6
64,5691-2,2
65,14068-29,4
66,15426-5,20
67,22496-21,10
68,17782-23,5
69,8601-167,18
70,6947-4,11
71,17348-5,3
72,2906-55,17
73,17346-61,1
74,10382-1,59
75,8091-16,13
76,15635-4,2
77,11212-7,3
78,22088-3,4
79,15491-20,1
80,16594-44,21
81,3805-16,34
82,12726-3,27
83,4988-49,27
84,13097-11,11
85,3323-37,12
86,9384-17,34
87,23661-61,26
88,12446-49,27
89,9790-28,17
90,13731-14,16
91,8893-29,35
92,3184-25,8
93,4126-22,25
94,11538-216,7
95,13618-15,3
96,7981-230,8
97,12633-3,19
98,4918-21,9
99,2436-49,13
100,7142-5,5
101,25452-16,10
102,3284-75,44
103,5699-19,2
104,7266-4,10
105,11647-6,18
106,2993-1,10
107,10069-2,9
108,8233-2,2
109,5636-10,9
110,22005-8,3
111,9316-67,29
112,17724-3,10
113,10365-132,23
114,3414-40,16
115,10615-18,1
116,21685-29,2
117,13701-2,10
118,20087-3,43
119,7831-39,10
120,7849-3,13
121,18859-7,8
122,9453-12,19
123,10754-113,23
124,22989-24,5
125,5581-28,13
126,11556-19,5
127,21403-39,14
128,5364-7,8
129,5084-154,3
130,5030-52,14
131,5637-81,15
132,22468-54,6
133,3061-61,1
134,20988-63,12
135,21390-68,8
136,17456-53,2
137,21737-20,8
138,13631-1,5
139,11142-11,8
140,3339-33,24
141,2573-20,27
142,10391-1,25
143,18880-81,9
144,15486-126,11
145,4467-49,7
146,3484-60,1
147,9456-34,4
148,7810-20,14
149,2714-78,19
150,21647-9,28
151,8484-24,1
152,4158-54,18
153,24222-10,7
154,15480-2,1
155,20995-47,8
156,14708-59,11
157,3060-43,17
158,4968-50,19
159,2567-5,3
160,15432-1,5
161,7198-197,1
162,10575-31,6
163,7933-75,6
164,13460-4,9
165,18943-4,7
166,18832-65,4
167,3314-74,2
168,7178-59,2
169,6379-62,11
170,20217-26,4
171,12759-47,3
172,8982-65,5
173,2670-67,3
174,8786-6,6
175,21501-30,7
176,11370-20,15
177,11356-19,4
178,4160-49,5
179,14011-17,1
180,23225-26,9
181,7968-15,16
182,4184-43,11
183,13529-39,6
184,5358-3,25
185,25087-11,12
186,5741-55,1
187,6941-11,2
188,13671-40,5
189,5682-13,1
190,24951-3,6
191,6629-3,8
192,13067-5,1
193,4673-13,13
194,19819-7,2
195,8418-30,3
196,8589-13,6
197,19280-29,10
198,21354-92,5
199,21819-9,8
200,18483-36,1
201,7146-5,1
202,13697-51,3
203,9819-110,2
204,14294-61,3
205,9898-161,3
206,20538-71,4
207,21691-27,3
208,11126-102,18
209,10428-1,6
210,8841-65,1
211,10565-19,11
212,5476-66,17
213,14759-149,6
214,25089-21,11
215,18242-8,6
216,5648-28,3
217,17161-1,4
218,15522-2,15
219,12732-13,13
220,2211-9,9
221,9021-1,2
222,9267-2,3
223,8337-65,6
224,6557-50,3
225,12768-3,3
226,8275-31,6
227,21117-18,7
