,SeqId,Count
0,6247-9,40
1,21764-99,70
2,11187-11,2
3,11177-16,76
4,13447-42,70
5,11126-102,33
6,16594-44,42
7,7266-4,16
8,21828-6,50
9,13495-48,39
10,4918-21,14
11,15594-47,44
12,5636-10,13
13,23661-61,23
14,20103-176,65
15,5178-5,7
16,15426-5,28
17,4829-43,46
18,8589-13,14
19,20584-4,56
20,24457-12,35
21,25912-131,5
22,12826-5,13
23,8893-29,49
24,22486-58,2
25,3714-49,35
26,23767-1,40
27,8246-9,12
28,4126-22,37
29,25452-16,18
30,10382-1,75
31,14245-195,18
32,3284-75,65
33,12881-17,55
34,14759-149,6
35,6647-55,10
36,10445-20,2
37,3184-25,14
38,9002-36,49
39,15395-15,2
40,4160-49,9
41,2837-3,2
42,4988-49,21
43,21655-18,52
44,13459-30,2
45,13727-44,3
46,6168-11,65
47,23588-9,45
48,20988-63,10
49,12329-21,33
50,6897-38,52
51,9370-69,66
52,24951-3,9
53,22005-8,12
54,11647-6,14
55,21390-68,15
56,23253-5,44
57,5617-41,5
58,5087-5,2
59,22506-25,33
60,21206-218,43
61,4549-78,23
62,11380-84,1
63,20087-3,47
64,5722-78,8
65,9316-67,38
66,10365-132,38
67,4184-43,22
68,9456-34,6
69,11370-20,21
70,15521-4,9
71,8304-50,38
72,6334-9,21
73,8923-94,8
74,4234-8,9
75,8233-2,7
76,22479-64,2
77,10754-113,36
78,4546-27,8
79,6947-4,16
80,11556-19,10
81,2858-29,18
82,12726-3,18
83,13671-40,16
84,8091-16,7
85,2906-55,6
86,4673-13,19
87,9384-17,21
88,2573-20,17
89,17742-2,2
90,3414-40,12
91,2714-78,19
92,22534-14,22
93,9212-22,2
94,21967-20,22
95,12446-49,26
96,25057-2,3
97,8462-18,1
98,22152-162,5
99,5725-1,22
100,12633-3,11
101,22496-21,3
102,13097-11,3
103,15486-126,23
104,19123-6,5
105,20237-38,2
106,7810-20,13
107,18859-7,10
108,17161-1,10
109,4162-54,1
110,5476-66,30
111,25240-1,9
112,6209-2,8
113,6606-61,4
114,4964-67,2
115,4158-54,16
116,11814-29,2
117,15455-40,46
118,21883-17,1
119,21737-20,16
120,23225-26,16
121,21403-39,8
122,3314-74,5
123,3344-60,1
124,2700-56,12
125,2913-1,4
126,21995-20,3
127,10391-1,37
128,23531-79,3
129,14011-17,2
130,9449-150,1
131,3339-33,26
132,4534-10,22
133,2436-49,10
134,14057-68,6
135,3805-16,19
136,21647-9,17
137,4467-49,6
138,7249-37,8
139,2211-9,3
140,6941-11,4
141,4968-50,24
142,6103-70,47
143,7933-75,4
144,5601-2,20
145,18273-14,8
146,13701-2,11
147,15499-11,1
148,15606-19,34
149,3060-43,5
150,5637-81,23
151,7178-59,2
152,13618-15,4
153,5358-3,14
154,15644-1,7
155,13682-47,2
156,13460-4,2
157,5364-7,12
158,24286-48,2
159,7198-197,1
160,8601-167,33
161,18880-81,7
162,2597-8,24
163,6629-3,19
164,21501-30,2
165,2681-23,5
166,18943-4,6
167,13678-169,12
168,20568-3,6
169,14708-59,20
170,5532-53,10
171,21354-92,4
172,5084-154,4
173,22468-54,4
174,4125-52,1
175,18175-65,2
176,19280-29,4
177,7146-5,3
178,20538-71,3
179,7968-15,10
180,10743-13,1
181,2993-1,9
182,6409-57,3
183,8275-31,4
184,13055-53,2
185,16763-11,3
186,10854-15,3
187,25087-11,13
188,23519-91,1
189,3312-64,3
190,9876-20,1
191,24937-7,8
192,21395-23,5
193,13733-5,3
194,20442-12,6
195,3346-72,1
196,19823-75,1
197,3457-57,1
198,5340-24,4
199,9453-12,23
200,14038-130,4
201,6064-4,5
202,15522-2,11
203,12557-18,1
204,12568-14,14
205,8760-10,2
206,24307-22,3
207,5691-2,9
208,23620-16,2
209,23327-1,1
210,25948-18,1
211,8982-65,3
212,8464-31,2
213,7856-51,2
214,8992-1,1
215,8841-65,2
216,17348-5,5
217,13492-44,15
218,2731-29,3
219,9848-22,8
220,7127-3,1
221,14102-6,3
222,10069-2,5
223,9790-28,14
224,7721-81,1
225,18178-13,3
226,12454-105,4
227,12518-289,2
228,17155-1,1
229,3506-49,1
230,13556-28,1
231,13231-90,8
232,13731-14,17
233,5682-13,1
234,4135-84,1
235,11212-7,8
236,13939-14,1
237,16305-10,1
238,13690-26,1
239,7871-16,11
240,4155-3,3
241,15527-90,1
242,23605-3,1
243,15364-101,3
244,8418-30,8
245,10565-19,12
246,22088-3,7
247,3803-10,1
248,6431-68,12
249,4991-12,3
250,13691-10,1
251,20411-52,5
252,12014-19,1
253,24222-10,10
254,3342-76,4
255,6464-40,6
256,18332-17,3
257,17782-23,5
258,25086-83,2
259,25089-21,5
260,8786-6,11
261,5316-54,1
262,5412-53,4
263,6393-63,1
264,3195-50,3
265,21651-9,9
266,7849-3,9
267,5581-28,11
268,25300-39,1
269,15422-12,3
270,2602-2,2
271,17724-3,4
272,7831-39,2
273,2567-5,5
274,24440-11,1
275,12732-13,3
276,15633-6,1
277,14068-29,5
278,13529-39,6
279,23330-12,1
280,7186-111,1
281,2778-10,1
282,21691-27,2
283,20995-47,3
284,2774-10,2
285,2831-29,6
286,13697-51,1
287,5954-62,1
288,9898-161,4
289,6379-62,1
290,10714-7,3
291,11387-3,4
292,11481-25,6
293,24922-19,1
294,24921-73,3
295,25964-12,2
296,17758-79,1
297,3891-56,2
298,8758-2,1
299,4314-12,2
300,17685-9,2
301,15480-2,2
302,25255-4,3
303,13723-6,3
304,5741-55,3
305,21688-50,2
306,13473-55,2
307,12538-19,4
308,23305-38,3
309,19141-22,1
310,11142-11,4
311,22128-8,2
312,13741-36,1
313,2670-67,2
314,24674-22,2
315,2950-57,2
316,3730-81,1
317,10615-18,2
318,21117-18,4
319,14227-21,5
320,13553-4,1
321,15635-4,2
322,17693-2,4
323,22564-5,1
324,11067-13,2
325,3061-61,1
326,11538-216,12
327,13676-46,6
328,10428-1,2
329,5430-66,7
330,14294-61,1
331,9713-67,1
332,23342-4,3
333,18947-3,2
334,13744-37,1
335,11356-19,1
336,24493-10,1
337,9237-54,2
338,21940-12,3
339,3800-71,2
340,21685-29,1
341,2816-50,1
342,7962-11,1
