,SeqId,Count
0,5476-66,80
1,4126-22,77
2,8967-6,34
3,13447-42,78
4,20103-176,69
5,6897-38,70
6,3714-49,43
7,20437-9,9
8,4234-8,73
9,9370-69,74
10,20087-3,63
11,13486-9,69
12,8601-167,76
13,6379-62,42
14,11556-19,32
15,24457-12,65
16,25912-131,36
17,11142-11,39
18,11160-56,19
19,5691-2,54
20,21655-18,47
21,23588-9,42
22,23327-1,44
23,24951-3,80
24,2837-3,25
25,21206-218,53
26,21321-2,18
27,11538-216,10
28,13112-179,11
29,2950-57,39
30,10365-132,61
31,21967-20,57
32,7127-3,34
33,9456-34,55
34,13067-5,23
35,13631-1,8
36,6334-9,12
37,15606-19,16
38,13738-8,16
39,9959-60,18
40,8246-9,11
41,20398-60,2
42,18873-8,6
43,8893-29,14
44,13939-14,26
45,3388-58,9
46,8091-16,8
47,21764-99,36
48,3198-4,1
49,15617-8,3
50,2913-1,32
51,3284-75,57
52,23620-16,9
53,18943-4,8
54,8819-3,9
55,11647-6,15
56,9384-17,38
57,5430-66,19
58,21828-6,32
59,9514-46,4
60,6621-10,19
61,19294-26,7
62,15480-2,8
63,23661-61,22
64,23767-1,30
65,24440-11,15
66,8469-41,6
67,14068-29,16
68,7934-11,4
69,10615-18,2
70,25459-3,32
71,10382-1,35
72,5412-53,19
73,7823-22,5
74,7779-86,3
75,18483-36,2
76,21804-15,2
77,12650-43,35
78,14708-59,29
79,4922-13,22
80,17828-3,28
81,7810-20,38
82,5087-5,30
83,15486-126,11
84,23296-29,22
85,22534-14,22
86,5722-78,61
87,9212-22,7
88,21691-27,2
89,3173-49,9
90,19280-29,14
91,14237-1,5
92,2573-20,13
93,7955-195,10
94,2670-67,20
95,6209-2,3
96,10754-113,1
97,15594-47,14
98,20538-71,8
99,23531-79,13
100,2831-29,6
101,11177-16,29
102,8233-2,5
103,9207-60,7
104,9204-33,22
105,13733-5,37
106,5636-10,33
107,21688-50,29
108,6227-1,10
109,8760-10,3
110,8304-50,9
111,3305-6,11
112,5084-154,23
113,3299-29,1
114,11152-46,1
115,9267-2,2
116,2436-49,3
117,6077-63,15
118,4983-6,8
119,14100-63,12
120,14011-17,23
121,15522-2,10
122,3800-71,9
123,21533-51,10
124,7849-3,22
125,4559-64,4
126,13690-26,1
127,2714-78,20
128,20568-3,7
129,3042-7,11
130,11203-97,10
131,23253-5,27
132,20461-58,4
133,10565-19,15
134,25452-16,28
135,13459-30,16
136,5738-25,2
137,17693-2,6
138,6260-14,1
139,4155-3,1
140,11134-30,14
141,2570-72,4
142,24490-16,11
143,7198-197,7
144,14254-27,5
145,24286-48,11
146,22496-21,5
147,3583-54,10
148,21317-25,6
149,4158-54,11
150,3059-50,21
151,10854-15,5
152,6649-51,6
153,12568-14,11
154,9002-36,2
155,9954-2,6
156,7020-13,7
157,14759-149,5
158,13993-20,16
159,3364-76,3
160,21771-47,2
161,22783-40,5
162,8837-8,10
163,5637-81,10
164,6629-3,20
165,15481-45,3
166,13055-53,13
167,19823-75,5
168,19819-7,9
169,2770-51,1
170,6504-65,6
171,6168-11,1
172,24307-22,15
173,4991-12,4
174,7813-6,2
175,15565-102,6
176,12848-9,6
177,10851-77,6
178,3336-50,4
179,13671-40,7
180,16763-11,2
181,12446-49,10
182,8589-13,5
183,10015-119,3
184,5708-1,8
185,7965-25,1
186,3709-4,2
187,2597-8,5
188,3339-33,4
189,6385-63,3
190,21676-17,2
191,13495-48,5
192,12518-289,6
193,14038-130,4
194,5725-1,11
195,21392-15,1
196,12732-13,4
197,6425-87,19
198,6383-90,3
199,23306-37,1
200,4563-61,6
201,21501-30,2
202,19799-2,4
203,13678-169,2
204,4829-43,2
205,18286-3,1
206,7146-5,3
207,3024-18,2
208,23274-27,6
209,8220-15,1
