,SeqId,Count
0,20087-3,80
1,21764-99,80
2,15486-126,51
3,13447-42,45
4,10754-113,62
5,9370-69,76
6,2858-29,25
7,6209-2,19
8,13492-44,49
9,25086-83,3
10,23225-26,18
11,11538-216,28
12,21967-20,51
13,13727-44,23
14,8601-167,16
15,4549-78,10
16,25089-21,59
17,4301-58,4
18,11142-11,16
19,5691-2,9
20,21647-9,28
21,15480-2,20
22,22506-25,42
23,4126-22,19
24,17348-5,22
25,14708-59,9
26,3714-49,28
27,16594-44,45
28,21117-18,16
29,11126-102,71
30,6947-4,47
31,13495-48,39
32,2731-29,18
33,8091-16,9
34,6897-38,61
35,8893-29,68
36,17693-2,18
37,20103-176,23
38,20584-4,20
39,12368-18,10
40,7186-111,16
41,11370-20,37
42,15522-2,29
43,25057-2,6
44,22152-162,7
45,24222-10,24
46,14759-149,1
47,4829-43,19
48,14148-2,19
49,11177-16,35
50,23767-1,17
51,13553-4,19
52,25452-16,24
53,12881-17,49
54,21691-27,50
55,6373-54,13
56,5596-75,2
57,7266-4,49
58,2734-49,7
59,4330-4,10
60,22564-5,22
61,5708-1,7
62,3415-61,3
63,5687-5,42
64,18859-7,40
65,6393-63,39
66,5354-11,8
67,23588-9,63
68,10970-3,3
69,10382-1,46
70,12826-5,35
71,2831-29,27
72,4982-54,3
73,9451-20,2
74,21144-160,7
75,6647-55,15
76,23305-38,2
77,13697-51,17
78,4909-68,6
79,11556-19,15
80,5430-66,16
81,4546-27,29
82,23253-5,20
83,12329-21,42
84,20442-12,6
85,13731-14,11
86,6247-9,9
87,2774-10,19
88,6334-9,3
89,22961-7,10
90,15606-19,18
91,21395-23,9
92,4925-54,1
93,9316-67,16
94,7748-11,2
95,5617-41,1
96,6941-11,10
97,9021-1,2
98,9604-14,1
99,6378-2,1
100,7127-3,4
101,3805-16,54
102,22534-14,40
103,12446-49,9
104,18880-81,7
105,4314-12,10
106,20995-47,10
107,2573-20,10
108,8246-9,28
109,5476-66,28
110,15455-40,23
111,8841-65,8
112,9002-36,58
113,6168-11,30
114,3339-33,14
115,4467-49,22
116,4160-49,11
117,19819-7,3
118,19193-18,5
119,20458-22,17
120,13556-28,5
121,2714-78,1
122,9237-54,27
123,8484-24,2
124,8982-65,1
125,9790-28,32
126,3284-75,42
127,4968-50,23
128,11380-84,1
129,13678-169,7
130,4155-3,9
131,3314-74,9
132,20988-63,16
133,21403-39,3
134,12568-14,20
135,9326-33,1
136,21655-18,29
137,12454-105,9
138,21544-4,1
139,17396-23,5
140,10069-2,15
141,11647-6,1
142,5138-50,7
143,10451-11,2
144,25087-11,12
145,2700-56,18
146,3800-71,5
147,5725-1,5
148,10391-1,20
149,24958-3,12
150,11212-7,7
151,2436-49,7
152,4534-10,15
153,9456-34,6
154,3484-60,11
155,13529-39,4
156,25964-12,13
157,2771-35,2
158,8099-42,5
159,12832-10,6
160,6574-11,13
161,20932-10,6
162,22831-11,1
163,21206-218,7
164,15395-15,1
165,4159-130,1
166,13723-6,3
167,6103-70,10
168,24674-22,13
169,2681-23,9
170,4234-8,12
171,3305-6,2
172,13384-110,7
173,3327-27,1
174,8007-19,9
175,17685-9,2
176,18947-3,3
177,3891-56,6
178,13042-7,3
179,6629-3,15
180,17161-1,15
181,16300-4,6
182,23622-128,1
183,4673-13,14
184,10620-21,5
185,9384-17,1
186,11187-11,4
187,24027-32,4
188,17742-2,3
189,7871-16,12
190,19545-145,2
191,5738-25,4
192,23531-79,6
193,11152-46,3
194,5410-53,7
195,22088-3,2
196,4158-54,3
197,24921-73,1
198,10365-132,15
199,4988-49,11
200,3505-6,15
201,17724-3,1
202,13701-2,5
203,21737-20,16
204,2211-9,3
205,11851-21,1
206,20568-3,8
207,15635-4,3
208,21390-68,3
209,9876-20,5
210,11318-20,5
211,14011-17,5
212,3730-81,3
213,5792-8,8
214,3060-43,3
215,23330-12,4
216,21232-39,10
217,12856-14,3
218,2993-1,3
219,24457-12,4
220,10565-19,1
221,16875-13,8
222,12633-3,2
223,23210-4,4
224,4914-10,7
225,7849-3,6
226,13459-30,8
227,8304-50,3
228,5087-5,6
229,14100-63,7
230,13735-1,1
231,8240-207,4
232,5635-66,2
233,22989-24,2
234,9942-2,1
235,2705-5,3
236,23200-25,5
237,16859-100,11
238,11203-97,6
239,23342-4,2
240,13671-40,9
241,15607-56,4
242,3803-10,13
243,21940-12,3
244,8882-1,2
245,6631-17,4
246,22005-8,4
247,12556-7,2
248,17782-23,1
249,14227-21,4
250,12753-6,5
251,12768-3,2
252,7178-59,3
253,24962-7,3
254,5637-81,1
255,5648-28,2
256,15367-38,2
257,13693-5,3
258,25255-4,6
259,7810-20,9
260,24440-11,1
261,23176-17,1
262,2950-57,2
263,8923-94,5
264,5339-49,8
265,4324-33,3
266,2972-57,2
267,8786-6,9
268,4916-2,1
269,5030-52,2
270,4559-64,5
271,8374-5,11
272,18273-14,5
273,11229-16,7
274,4184-43,1
275,2994-71,6
276,20593-10,3
277,4500-50,2
278,2966-65,2
279,4261-55,2
280,25240-1,7
281,3457-57,1
282,13690-26,3
283,3636-37,4
284,21143-10,5
285,5364-7,3
286,21676-17,1
287,15509-2,1
288,15426-5,8
289,16902-17,2
290,13990-1,2
291,13231-90,4
292,25906-5,2
293,18943-4,1
294,6380-23,2
295,6227-1,3
296,6172-7,4
297,12807-89,1
298,10435-2,1
299,12538-19,1
300,15521-4,1
301,8418-30,1
302,22576-1,6
303,4436-1,1
304,21533-51,5
305,13948-50,1
306,20411-52,1
307,21392-15,2
308,11814-29,2
309,14102-6,4
310,3195-50,2
311,25901-3,1
312,23625-44,1
313,18218-48,5
314,11265-8,2
315,17377-1,4
316,20141-42,3
317,17758-79,2
318,12808-103,1
319,23547-21,3
320,4237-70,2
321,4964-67,1
322,15422-12,2
323,18878-15,2
324,15483-377,2
325,21995-20,2
326,18242-8,2
327,6064-4,1
328,13744-37,3
329,21916-82,3
330,20538-71,1
331,17335-18,1
332,23544-10,3
333,6900-30,1
334,6434-18,2
335,2953-31,1
336,2763-66,1
337,7926-13,2
338,5358-3,2
339,12488-9,1
340,11481-25,2
341,3184-25,2
342,5400-52,1
343,7928-183,1
344,4918-21,1
345,10637-50,1
346,21828-6,5
347,13733-5,2
348,4992-49,1
349,21308-44,1
350,9848-22,1
351,7142-5,1
352,7831-39,1
353,6580-29,2
354,5605-77,1
355,13710-6,1
356,9204-33,1
357,13112-179,2
358,2687-2,1
359,11387-3,1
360,4148-49,1
361,6621-10,1
362,21182-8,1
363,8406-17,1
364,23426-1,1
365,25112-6,1
366,3291-30,2
367,25912-131,1
368,12046-51,1
369,22128-8,2
370,7007-24,1
371,13438-115,1
372,3067-67,1
373,9242-11,1
374,24407-31,1
375,9954-2,1
376,5636-10,2
377,9713-67,1
378,21796-43,1
379,23661-61,1
380,3302-58,1
381,24307-22,1
382,2597-8,1
383,11098-1,1
